Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 00:41:58.4;0;Good;Good;142399
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 01:41:58.0;0;Good;Good;142400
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 02:41:58.0;0;Good;Good;142401
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 03:41:57.9;0;Good;Good;142402
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 04:41:57.4;0;Good;Good;142403
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 05:41:57.0;0;Good;Good;142404
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 06:41:56.1;0;Good;Good;142405
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 07:41:55.8;0;Good;Good;142406
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 08:41:55.5;0;Good;Good;142407
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 09:41:54.8;0;Good;Good;142408
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 10:41:54.4;0;Good;Good;142409
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 11:41:53.5;0;Good;Good;142410
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 12:41:52.9;0;Good;Good;142411
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 13:41:52.8;0;Good;Good;142412
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 14:41:52.4;0;Good;Good;142413
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 15:41:52.3;0;Good;Good;142414
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 16:41:52.1;0;Good;Good;142415
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 17:41:51.2;0;Good;Good;142416
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 18:41:50.6;0;Good;Good;142417
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 19:41:50.2;0;Good;Good;142418
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 20:41:49.9;0;Good;Good;142419
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 21:41:49.3;0;Good;Good;142420
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 22:41:48.4;0;Good;Good;142421
FRD_0586_FQIRA2658;Durchfluss WFI (FQIRA2658);06-APR-21 23:41:48.3;0;Good;Good;142422
