Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:03:43.1;0,9742017;Good;Good;2462830
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:09:34.9;0,9791999;Good;Good;2462831
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:16:08.8;0,9841986;Good;Good;2462832
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:23:35.0;0,9891549;Good;Good;2462833
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:31:59.5;0,9941444;Good;Good;2462834
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:43:01.9;0,9991218;Good;Good;2462835
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 00:55:46.0;1,004075;Good;Good;2462836
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 01:11:09.6;1,009061;Good;Good;2462837
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 01:38:28.4;1,014035;Good;Good;2462838
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 02:38:28.3;1,018088;Good;Good;2462839
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 03:38:28.3;1,020267;Good;Good;2462840
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:51.3;1,018595;Good;Good;2462841
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:52.3;0,9476565;Good;Good;2462842
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:54.4;0,658739;Good;Good;2462843
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:55.4;0,5830301;Good;Good;2462844
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:56.4;0,576973;Good;Good;2462845
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:57.4;0,4980241;Good;Good;2462846
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:58.5;0,3778885;Good;Good;2462847
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:00:59.5;0,2663023;Good;Good;2462848
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:00.5;0,2313161;Good;Good;2462849
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:04.6;0,2774176;Good;Good;2462850
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:05.7;0,2897507;Good;Good;2462851
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:06.7;0,2897507;Good;Good;2462852
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:08.7;0,3157455;Good;Good;2462853
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:09.7;0,3401578;Good;Good;2462854
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:11.8;0,3695516;Good;Good;2462855
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:13.8;0,4045736;Good;Good;2462856
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:15.9;0,4500307;Good;Good;2462857
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:17.9;0,5068942;Good;Good;2462858
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:22.0;0,654698;Good;Good;2462859
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:23.0;0,654698;Good;Good;2462860
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:24.0;0,6995961;Good;Good;2462861
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:25.1;0,7504744;Good;Good;2462862
FRD_0586_P2422;Dampfdruck (P2422);06-APR-21 04:01:26.1;0,8095769;Good;Good;2462863
