Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 00:06:02.2;1,5155;Good;Good;2949530
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 00:27:31.3;1,514667;Good;Good;2949531
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 01:00:01.7;1,514;Good;Good;2949532
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 02:00:01.4;1,513333;Good;Good;2949533
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:00:00.9;1,512833;Good;Good;2949534
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:12.1;1,513;Good;Good;2949535
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:13.1;1,516;Good;Good;2949536
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:14.2;1,661833;Good;Good;2949537
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:15.2;2,000833;Good;Good;2949538
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:16.2;2,007;Good;Good;2949539
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:17.2;1,9975;Good;Good;2949540
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:18.3;1,991667;Good;Good;2949541
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:19.3;1,988333;Good;Good;2949542
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:21.3;1,984;Good;Good;2949543
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:25.4;1,980167;Good;Good;2949544
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 03:59:36.6;1,977333;Good;Good;2949545
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:01:17.9;1,976667;Good;Good;2949546
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:03:09.6;1,977667;Good;Good;2949547
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:04:58.0;1,9785;Good;Good;2949548
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:06:20.9;1,979333;Good;Good;2949549
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:08:07.3;1,98;Good;Good;2949550
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:09:32.2;1,980667;Good;Good;2949551
FRD_0586_PIRSA2220;Prüfbehälter WIT (PIRSA2220);06-APR-21 04:11:53.4;1,981667;Good;Good;2949552
