Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 00:41:58.4;83;Good;Good;115752
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 01:41:58.0;83;Good;Good;115753
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 02:41:58.0;83;Good;Good;115754
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 03:41:57.9;83;Good;Good;115755
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 04:41:57.4;83;Good;Good;115756
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 05:41:57.0;83;Good;Good;115757
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 06:41:56.1;83;Good;Good;115758
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 07:41:55.8;83;Good;Good;115759
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 08:41:55.5;83;Good;Good;115760
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 09:41:54.8;83;Good;Good;115761
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 10:41:54.4;83;Good;Good;115762
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 11:41:53.5;83;Good;Good;115763
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 12:41:52.9;83;Good;Good;115764
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 13:41:52.8;83;Good;Good;115765
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 14:41:52.4;83;Good;Good;115766
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 15:41:52.3;83;Good;Good;115767
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 16:41:52.1;83;Good;Good;115768
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 17:41:51.2;83;Good;Good;115769
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 18:41:50.6;83;Good;Good;115770
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 19:41:50.2;83;Good;Good;115771
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 20:41:49.9;83;Good;Good;115772
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 21:41:49.3;83;Good;Good;115773
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 22:41:48.4;83;Good;Good;115774
FRD_0586_STAT_FQIRA2658;PA-Status FQIRA2658;06-APR-21 23:41:48.3;83;Good;Good;115775
