Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 00:41:58.4;128;Good;Good;116922
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 01:41:58.0;128;Good;Good;116923
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 02:41:58.0;128;Good;Good;116924
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 03:41:57.9;128;Good;Good;116925
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 04:41:57.4;128;Good;Good;116926
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 05:41:57.0;128;Good;Good;116927
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 06:41:56.1;128;Good;Good;116928
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 07:41:55.8;128;Good;Good;116929
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 08:41:55.5;128;Good;Good;116930
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 09:41:54.8;128;Good;Good;116931
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 10:41:54.4;128;Good;Good;116932
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 11:41:53.5;128;Good;Good;116933
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 12:41:52.9;128;Good;Good;116934
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 13:41:52.8;128;Good;Good;116935
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 14:41:52.4;128;Good;Good;116936
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 15:41:52.3;128;Good;Good;116937
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 16:41:52.1;128;Good;Good;116938
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 17:41:51.2;128;Good;Good;116939
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 18:41:50.6;128;Good;Good;116940
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 19:41:50.2;128;Good;Good;116941
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 20:41:49.9;128;Good;Good;116942
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 21:41:49.3;128;Good;Good;116943
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 22:41:48.4;128;Good;Good;116944
FRD_0586_STAT_P2422;PA-Status P2422;06-APR-21 23:41:48.3;128;Good;Good;116945
