Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 00:41:58.4;128;Good;Good;115239
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 01:41:58.0;128;Good;Good;115240
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 02:41:58.0;128;Good;Good;115241
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 03:41:57.9;128;Good;Good;115242
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 04:41:57.4;128;Good;Good;115243
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 05:41:57.0;128;Good;Good;115244
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 06:41:56.1;128;Good;Good;115245
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 07:41:55.8;128;Good;Good;115246
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 08:41:55.5;128;Good;Good;115247
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 09:41:54.8;128;Good;Good;115248
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 10:41:54.4;128;Good;Good;115249
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 11:41:53.5;128;Good;Good;115250
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 12:41:52.9;128;Good;Good;115251
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 13:41:52.8;128;Good;Good;115252
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 14:41:52.4;128;Good;Good;115253
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 15:41:52.3;128;Good;Good;115254
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 16:41:52.1;128;Good;Good;115255
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 17:41:51.2;128;Good;Good;115256
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 18:41:50.6;128;Good;Good;115257
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 19:41:50.2;128;Good;Good;115258
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 20:41:49.9;128;Good;Good;115259
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 21:41:49.3;128;Good;Good;115260
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 22:41:48.4;128;Good;Good;115261
FRD_0586_STAT_PIRSA1320;PA-Status PIRSA1320;06-APR-21 23:41:48.3;128;Good;Good;115262
