Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 00:41:58.4;1;Good;Good;114877
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 01:41:58.0;1;Good;Good;114878
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 02:41:58.0;1;Good;Good;114879
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 03:41:57.9;1;Good;Good;114880
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 04:41:57.4;1;Good;Good;114881
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 05:41:57.0;1;Good;Good;114882
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 06:41:56.1;1;Good;Good;114883
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 07:41:55.8;1;Good;Good;114884
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 08:41:55.5;1;Good;Good;114885
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 09:41:54.8;1;Good;Good;114886
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 10:41:54.4;1;Good;Good;114887
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 11:41:53.5;1;Good;Good;114888
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 12:41:52.9;1;Good;Good;114889
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 13:41:52.8;1;Good;Good;114890
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 14:41:52.4;1;Good;Good;114891
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 15:41:52.3;1;Good;Good;114892
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 16:41:52.1;1;Good;Good;114893
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 17:41:51.2;1;Good;Good;114894
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 18:41:50.6;1;Good;Good;114895
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 19:41:50.2;1;Good;Good;114896
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 20:41:49.9;1;Good;Good;114897
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 21:41:49.3;1;Good;Good;114898
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 22:41:48.4;1;Good;Good;114899
FRD_0586_STAT_Ster_Filt;Status Steril Filter SUG;06-APR-21 23:41:48.3;1;Good;Good;114900
