Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 00:41:58.4;1;Good;Good;114908
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 01:41:58.0;1;Good;Good;114909
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 02:41:58.0;1;Good;Good;114910
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 03:41:57.9;1;Good;Good;114911
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 04:41:57.4;1;Good;Good;114912
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 05:41:57.0;1;Good;Good;114913
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 06:41:56.1;1;Good;Good;114914
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 07:41:55.8;1;Good;Good;114915
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 08:41:55.5;1;Good;Good;114916
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 09:41:54.8;1;Good;Good;114917
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 10:41:54.4;1;Good;Good;114918
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 11:41:53.5;1;Good;Good;114919
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 12:41:52.9;1;Good;Good;114920
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 13:41:52.8;1;Good;Good;114921
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 14:41:52.4;1;Good;Good;114922
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 15:41:52.3;1;Good;Good;114923
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 16:41:52.1;1;Good;Good;114924
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 17:41:51.2;1;Good;Good;114925
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 18:41:50.6;1;Good;Good;114926
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 19:41:50.2;1;Good;Good;114927
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 20:41:49.9;1;Good;Good;114928
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 21:41:49.3;1;Good;Good;114929
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 22:41:48.4;1;Good;Good;114930
FRD_0586_STAT_Ster_PB_K;Status Steril Pufferbehälter Kappen;06-APR-21 23:41:48.3;1;Good;Good;114931
