Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 00:49:50.0;1;Good;Good;122087
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 01:49:49.7;1;Good;Good;122088
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 02:49:49.4;1;Good;Good;122089
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 03:49:49.4;1;Good;Good;122090
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 03:53:27.2;0;Good;Good;122091
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 03:57:28.8;1;Good;Good;122092
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 04:57:28.2;1;Good;Good;122093
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 05:57:27.8;1;Good;Good;122094
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 06:57:27.6;1;Good;Good;122095
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 07:57:26.7;1;Good;Good;122096
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 08:57:26.5;1;Good;Good;122097
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 09:57:26.3;1;Good;Good;122098
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 10:57:25.4;1;Good;Good;122099
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 11:57:25.2;1;Good;Good;122100
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 12:57:24.4;1;Good;Good;122101
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 13:57:23.4;1;Good;Good;122102
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 14:57:22.6;1;Good;Good;122103
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 15:03:35.7;0;Good;Good;122104
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 15:10:12.5;1;Good;Good;122105
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 16:10:11.9;1;Good;Good;122106
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 17:10:11.1;1;Good;Good;122107
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 18:10:10.9;1;Good;Good;122108
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 19:10:10.5;1;Good;Good;122109
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 20:10:10.1;1;Good;Good;122110
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 21:10:09.1;1;Good;Good;122111
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 21:56:33.5;0;Good;Good;122112
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 22:01:22.4;1;Good;Good;122113
FRD_0586_STAT_Ster_TB_S;Status Steril Transportbehälter Stopfen;06-APR-21 23:01:22.1;1;Good;Good;122114
