Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 00:23:32.9;1;Good;Good;119464
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 01:23:32.3;1;Good;Good;119465
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 02:23:31.5;1;Good;Good;119466
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 03:23:31.0;1;Good;Good;119467
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 03:53:30.3;0;Good;Good;119468
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 04:31:11.8;1;Good;Good;119469
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 05:31:11.6;1;Good;Good;119470
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 06:31:11.0;1;Good;Good;119471
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 07:31:10.8;1;Good;Good;119472
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 08:31:09.8;1;Good;Good;119473
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 09:31:09.8;1;Good;Good;119474
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 10:31:09.0;1;Good;Good;119475
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 11:31:08.7;1;Good;Good;119476
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 12:31:08.0;1;Good;Good;119477
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 13:31:07.8;1;Good;Good;119478
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 14:31:06.9;1;Good;Good;119479
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 15:04:05.3;0;Good;Good;119480
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 15:44:15.9;1;Good;Good;119481
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 16:44:15.8;1;Good;Good;119482
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 17:44:15.7;1;Good;Good;119483
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 18:44:14.7;1;Good;Good;119484
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 19:44:14.3;1;Good;Good;119485
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 20:44:14.0;1;Good;Good;119486
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 21:44:13.5;1;Good;Good;119487
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 21:56:38.7;0;Good;Good;119488
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 22:35:04.3;1;Good;Good;119489
FRD_0586_STAT_Ster_ZW_S;Status Steril Zwischenstück Stopfen;06-APR-21 23:35:03.6;1;Good;Good;119490
