Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 00:41:58.4;128;Good;Good;114505
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 01:41:58.0;128;Good;Good;114506
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 02:41:58.0;128;Good;Good;114507
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 03:41:57.9;128;Good;Good;114508
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 04:41:57.4;128;Good;Good;114509
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 05:41:57.0;128;Good;Good;114510
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 06:41:56.1;128;Good;Good;114511
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 07:41:55.8;128;Good;Good;114512
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 08:41:55.5;128;Good;Good;114513
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 09:41:54.8;128;Good;Good;114514
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 10:41:54.4;128;Good;Good;114515
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 11:41:53.5;128;Good;Good;114516
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 12:41:52.9;128;Good;Good;114517
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 13:41:52.8;128;Good;Good;114518
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 14:41:52.4;128;Good;Good;114519
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 15:41:52.3;128;Good;Good;114520
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 16:41:52.1;128;Good;Good;114521
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 17:41:51.2;128;Good;Good;114522
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 18:41:50.6;128;Good;Good;114523
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 19:41:50.2;128;Good;Good;114524
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 20:41:49.9;128;Good;Good;114525
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 21:41:49.3;128;Good;Good;114526
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 22:41:48.4;128;Good;Good;114527
FRD_0586_STAT_TIRSA1112;PA-Status TIRSA1112;06-APR-21 23:41:48.3;128;Good;Good;114528
