Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 00:41:58.4;128;Good;Good;115592
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 01:41:58.0;128;Good;Good;115593
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 02:41:58.0;128;Good;Good;115594
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 03:41:57.9;128;Good;Good;115595
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 04:41:57.4;128;Good;Good;115596
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 05:41:57.0;128;Good;Good;115597
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 06:41:56.1;128;Good;Good;115598
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 07:41:55.8;128;Good;Good;115599
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 08:41:55.5;128;Good;Good;115600
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 09:41:54.8;128;Good;Good;115601
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 10:41:54.4;128;Good;Good;115602
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 11:41:53.5;128;Good;Good;115603
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 12:41:52.9;128;Good;Good;115604
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 13:41:52.8;128;Good;Good;115605
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 14:41:52.4;128;Good;Good;115606
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 15:41:52.3;128;Good;Good;115607
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 16:41:52.1;128;Good;Good;115608
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 17:41:51.2;128;Good;Good;115609
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 18:41:50.6;128;Good;Good;115610
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 19:41:50.2;128;Good;Good;115611
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 20:41:49.9;128;Good;Good;115612
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 21:41:49.3;128;Good;Good;115613
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 22:41:48.4;128;Good;Good;115614
FRD_0586_STAT_UV2423;PA-Status UV2423;06-APR-21 23:41:48.3;128;Good;Good;115615
