Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 00:52:53.2;0;Good;Good;109627
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 01:52:52.7;0;Good;Good;109628
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 02:52:52.4;0;Good;Good;109629
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 03:52:51.5;0;Good;Good;109630
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 04:52:51.1;0;Good;Good;109631
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 05:52:50.9;0;Good;Good;109632
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 06:52:50.4;0;Good;Good;109633
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 07:52:49.7;0;Good;Good;109634
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 08:52:49.1;0;Good;Good;109635
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 09:52:48.2;0;Good;Good;109636
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 10:52:47.8;0;Good;Good;109637
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 11:52:47.1;0;Good;Good;109638
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 12:52:46.3;0;Good;Good;109639
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 13:52:45.9;0;Good;Good;109640
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 14:52:45.6;0;Good;Good;109641
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 15:52:45.0;0;Good;Good;109642
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 16:52:44.6;0;Good;Good;109643
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 17:52:44.2;0;Good;Good;109644
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 18:52:43.9;0;Good;Good;109645
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 19:52:42.9;0;Good;Good;109646
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 20:52:42.9;0;Good;Good;109647
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 21:52:42.1;0;Good;Good;109648
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 22:52:41.7;0;Good;Good;109649
FRD_0586_STOPPER_CONS;Verbrauch Stopfen;06-APR-21 23:52:40.9;0;Good;Good;109650
