Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 00:01:02.3;23,77902;Good;Good;634282
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 00:33:21.4;23,71921;Good;Good;634283
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 01:33:20.6;23,6821;Good;Good;634284
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 02:06:48.4;23,63953;Good;Good;634285
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 03:06:47.7;23,57242;Good;Good;634286
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 03:07:46.0;23,60965;Good;Good;634287
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 03:46:09.0;23,71527;Good;Good;634288
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:11:52.3;23,8158;Good;Good;634289
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:14:04.3;23,9577;Good;Good;634290
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:17:56.5;24,05161;Good;Good;634291
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:20:09.9;24,16565;Good;Good;634292
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:21:31.7;24,21667;Good;Good;634293
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:21:54.2;24,2764;Good;Good;634294
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:24:06.1;24,41187;Good;Good;634295
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:27:52.2;24,51324;Good;Good;634296
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:29:32.5;24,63235;Good;Good;634297
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:32:50.0;24,74973;Good;Good;634298
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:34:20.0;24,81351;Good;Good;634299
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:37:20.2;24,923;Good;Good;634300
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 04:39:36.3;25,02975;Good;Good;634301
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:06:43.4;25,01849;Good;Good;634302
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:06:45.5;24,86664;Good;Good;634303
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:07:38.6;24,91489;Good;Good;634304
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:17:31.8;24,84869;Good;Good;634305
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:22:30.8;24,75208;Good;Good;634306
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:29:25.2;24,64096;Good;Good;634307
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:36:13.4;24,55826;Good;Good;634308
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:43:34.2;24,45135;Good;Good;634309
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:52:12.1;24,41537;Good;Good;634310
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:53:24.9;24,37222;Good;Good;634311
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 05:59:07.3;24,28683;Good;Good;634312
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 06:11:22.2;24,17996;Good;Good;634313
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 06:31:01.9;24,06708;Good;Good;634314
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 06:51:01.0;23,92178;Good;Good;634315
FRD_0586_TIRSA1272;Entl. Fallrohr Kappen (TIRSA1272);06-APR-21 06:51:37.8;24,06616;Good;Good;634316
