Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 00:57:51.8;1030;Good;Good;170802
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 01:57:51.5;1030;Good;Good;170803
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 02:57:51.0;1030;Good;Good;170804
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 03:57:50.3;1030;Good;Good;170805
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 04:57:49.7;1030;Good;Good;170806
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 05:57:49.4;1030;Good;Good;170807
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 06:57:49.1;1030;Good;Good;170808
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 07:57:48.2;1030;Good;Good;170809
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 08:57:47.9;1030;Good;Good;170810
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 09:57:47.8;1030;Good;Good;170811
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 10:57:47.0;1030;Good;Good;170812
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 11:57:46.7;1030;Good;Good;170813
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 12:57:45.8;1030;Good;Good;170814
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 13:57:44.9;1030;Good;Good;170815
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 14:57:44.1;1030;Good;Good;170816
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 15:57:43.2;1030;Good;Good;170817
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 16:57:43.2;1030;Good;Good;170818
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 17:57:42.8;1030;Good;Good;170819
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 18:57:42.5;1030;Good;Good;170820
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 19:57:42.1;1030;Good;Good;170821
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 20:57:41.2;1030;Good;Good;170822
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 21:57:41.1;1030;Good;Good;170823
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 22:37:17.3;2020;Good;Good;170824
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 22:37:20.4;2040;Good;Good;170825
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 22:39:15.0;2050;Good;Good;170826
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 22:39:16.0;1000;Good;Good;170827
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 22:52:00.9;2010;Good;Good;170828
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 23:06:29.8;3010;Good;Good;170829
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 23:06:35.0;3020;Good;Good;170830
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 23:07:34.2;3030;Good;Good;170831
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 23:08:05.9;3040;Good;Good;170832
FRD_0586_TRANSIT_KAPPEN;Transitionsanzeige Kappen;06-APR-21 23:08:08.0;3050;Good;Good;170833
