Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 00:41:58.4;0;Good;Good;119258
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 01:41:58.0;0;Good;Good;119259
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 02:41:58.0;0;Good;Good;119260
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 03:41:57.9;0;Good;Good;119261
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 04:41:57.4;0;Good;Good;119262
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 05:41:57.0;0;Good;Good;119263
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 06:41:56.1;0;Good;Good;119264
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 07:41:55.8;0;Good;Good;119265
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 08:41:55.5;0;Good;Good;119266
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 09:41:54.8;0;Good;Good;119267
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 10:41:54.4;0;Good;Good;119268
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 11:41:53.5;0;Good;Good;119269
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 12:41:52.9;0;Good;Good;119270
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 13:41:52.8;0;Good;Good;119271
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 14:41:52.4;0;Good;Good;119272
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 15:41:52.3;0;Good;Good;119273
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 16:41:52.1;0;Good;Good;119274
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 17:41:51.2;0;Good;Good;119275
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 18:41:50.6;0;Good;Good;119276
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 19:41:50.2;0;Good;Good;119277
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 20:41:49.9;0;Good;Good;119278
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 21:41:49.3;0;Good;Good;119279
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 22:41:48.4;0;Good;Good;119280
FRD_0586_TRANSIT_SERVICE;Transitionsanzeige Service;06-APR-21 23:41:48.3;0;Good;Good;119281
