Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 00:47:39.1;1030;Good;Good;279382
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 01:47:38.7;1030;Good;Good;279383
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 02:47:38.6;1030;Good;Good;279384
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:47:38.2;1030;Good;Good;279385
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:53:18.0;2020;Good;Good;279386
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:53:21.1;2030;Good;Good;279387
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:54:07.2;1000;Good;Good;279388
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:57:26.8;2010;Good;Good;279389
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:57:38.0;3010;Good;Good;279390
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:57:42.1;3020;Good;Good;279391
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:58:42.5;3030;Good;Good;279392
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:59:13.1;3040;Good;Good;279393
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 03:59:15.2;3050;Good;Good;279394
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:00:16.5;3060;Good;Good;279395
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:00:46.2;4005;Good;Good;279396
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:00:51.3;6010;Good;Good;279397
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:00:56.4;6020;Good;Good;279398
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:01:53.7;6030;Good;Good;279399
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:01:56.7;6010;Good;Good;279400
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:02:09.1;6020;Good;Good;279401
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:03:04.5;6030;Good;Good;279402
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:03:06.5;6010;Good;Good;279403
FRD_0586_TRANSIT_STOPFEN;Transitionsanzeige Stopfen;06-APR-21 04:03:29.1;6020;Good;Good;279404
