Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:00:00.0;966108;Good;Good;77545617
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:00:57.2;966108;Good;Good;77545618
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:00:58.3;966130;Good;Good;77545619
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:00:59.3;966130;Good;Good;77545620
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:00.3;966152;Good;Good;77545621
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:02.4;966152;Good;Good;77545622
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:04.4;966196;Good;Good;77545623
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:06.4;966196;Good;Good;77545624
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:08.5;966240;Good;Good;77545625
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:09.5;966240;Good;Good;77545626
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:10.5;966262;Good;Good;77545627
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:11.5;966262;Good;Good;77545628
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:12.6;966284;Good;Good;77545629
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:14.6;966284;Good;Good;77545630
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:16.7;966328;Good;Good;77545631
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:18.7;966328;Good;Good;77545632
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:19.7;966350;Good;Good;77545633
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:20.8;966350;Good;Good;77545634
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:21.8;966372;Good;Good;77545635
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:23.8;966372;Good;Good;77545636
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:25.9;966416;Good;Good;77545637
FRD_0591_CNT_ZA;Anzahl Kapullen;06-APR-21 00:01:27.9;966416;Good;Good;77545638
