Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 00:57:55.0;36300;Good;Good;132036
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 01:57:54.6;36300;Good;Good;132037
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 02:57:54.1;36300;Good;Good;132038
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 03:09:57.5;36300;Good;Good;132039
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 03:09:58.5;35442;Good;Good;132040
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 04:09:57.8;35442;Good;Good;132041
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 04:30:48.2;35442;Good;Good;132042
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 04:30:49.2;36300;Good;Good;132043
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 05:30:49.1;36300;Good;Good;132044
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 06:30:48.7;36300;Good;Good;132045
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 07:30:48.4;36300;Good;Good;132046
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 08:30:47.4;36300;Good;Good;132047
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 09:30:47.3;36300;Good;Good;132048
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 10:30:46.6;36300;Good;Good;132049
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 11:30:46.1;36300;Good;Good;132050
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 11:35:56.8;36300;Good;Good;132051
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 11:35:57.8;35706;Good;Good;132052
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 12:24:14.7;35706;Good;Good;132053
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 12:24:15.8;23012;Good;Good;132054
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 13:24:15.8;23012;Good;Good;132055
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 14:24:15.5;23012;Good;Good;132056
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 14:46:14.8;23012;Good;Good;132057
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 14:46:15.8;13904;Good;Good;132058
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 15:46:15.0;13904;Good;Good;132059
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 16:04:04.7;13904;Good;Good;132060
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 16:04:05.7;36300;Good;Good;132061
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 17:04:04.9;36300;Good;Good;132062
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 18:04:04.7;36300;Good;Good;132063
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 18:28:06.1;36300;Good;Good;132064
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 18:28:07.1;35970;Good;Good;132065
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 19:28:06.2;35970;Good;Good;132066
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 19:33:49.8;35970;Good;Good;132067
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 19:33:50.8;36630;Good;Good;132068
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 20:33:50.7;36630;Good;Good;132069
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 20:44:42.7;36630;Good;Good;132070
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 20:44:43.7;36300;Good;Good;132071
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 21:44:43.2;36300;Good;Good;132072
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 22:44:42.3;36300;Good;Good;132073
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 23:01:10.9;36300;Good;Good;132074
FRD_0591_DEP_CONS;Verbrauchte Menge Depalettierer;06-APR-21 23:01:11.9;36058;Good;Good;132075
