Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 00:57:55.0;36300;Good;Good;111421
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 01:57:54.6;36300;Good;Good;111422
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 02:57:54.1;36300;Good;Good;111423
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 03:57:53.4;36300;Good;Good;111424
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 04:57:52.8;36300;Good;Good;111425
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 05:57:52.5;36300;Good;Good;111426
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 06:57:52.2;36300;Good;Good;111427
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 07:57:51.4;36300;Good;Good;111428
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 08:57:51.1;36300;Good;Good;111429
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 09:57:50.9;36300;Good;Good;111430
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 10:57:50.1;36300;Good;Good;111431
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 11:57:49.9;36300;Good;Good;111432
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 12:57:49.0;36300;Good;Good;111433
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 13:57:48.0;36300;Good;Good;111434
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 14:46:14.8;36300;Good;Good;111435
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 14:46:15.8;13860;Good;Good;111436
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 15:46:15.0;13860;Good;Good;111437
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 16:04:04.7;13860;Good;Good;111438
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 16:04:05.7;36300;Good;Good;111439
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 17:04:04.9;36300;Good;Good;111440
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 18:04:04.7;36300;Good;Good;111441
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 19:04:04.1;36300;Good;Good;111442
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 20:04:03.6;36300;Good;Good;111443
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 21:04:03.4;36300;Good;Good;111444
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 22:04:03.0;36300;Good;Good;111445
FRD_0591_DEP_DELIVER;Angelieferte Menge Depalettierer;06-APR-21 23:04:02.7;36300;Good;Good;111446
