Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:00:00.9;0,2792245;Good;Good;67399402
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:00:02.9;0,3012153;Good;Good;67399403
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:00:35.7;0,3023727;Good;Good;67399404
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:00:36.7;0,2907986;Good;Good;67399405
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:00:40.8;0,2974537;Good;Good;67399406
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:00:59.2;0,2934028;Good;Good;67399407
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:02.2;0,2977431;Good;Good;67399408
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:03.3;0,3260995;Good;Good;67399409
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:04.3;0,3260995;Good;Good;67399410
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:05.3;0,2251157;Good;Good;67399411
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:06.3;0,2939815;Good;Good;67399412
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:10.4;0,2873264;Good;Good;67399413
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:11.4;0,3081597;Good;Good;67399414
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:12.5;0,2297454;Good;Good;67399415
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:13.5;0,2913773;Good;Good;67399416
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:17.6;0,2884838;Good;Good;67399417
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:18.6;0,3142361;Good;Good;67399418
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:19.6;0,2934028;Good;Good;67399419
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:22.7;0,3003472;Good;Good;67399420
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:23.7;0,2809606;Good;Good;67399421
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:24.7;0,2835648;Good;Good;67399422
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:25.7;0,2303241;Good;Good;67399423
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:26.8;0,2986111;Good;Good;67399424
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:30.9;0,291088;Good;Good;67399425
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:31.9;0,3156829;Good;Good;67399426
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:32.9;0,2581019;Good;Good;67399427
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:33.9;0,301794;Good;Good;67399428
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:39.0;0,2809606;Good;Good;67399429
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:40.1;0,3434606;Good;Good;67399430
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:41.1;0,2951389;Good;Good;67399431
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:42.1;0,2835648;Good;Good;67399432
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:43.2;0,3000579;Good;Good;67399433
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:45.2;0,2928241;Good;Good;67399434
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:46.2;0,3191551;Good;Good;67399435
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:47.3;0,2254051;Good;Good;67399436
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:48.3;0,2965856;Good;Good;67399437
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:49.3;0,2829861;Good;Good;67399438
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:50.4;0,2945602;Good;Good;67399439
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:53.5;0,286169;Good;Good;67399440
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:54.5;0,2578125;Good;Good;67399441
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:55.5;0,2922454;Good;Good;67399442
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:01:59.6;0,2962963;Good;Good;67399443
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:00.7;0,270544;Good;Good;67399444
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:02.7;0,3015046;Good;Good;67399445
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:07.8;0,2965856;Good;Good;67399446
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:14.0;0,3006366;Good;Good;67399447
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:15.0;0,2135417;Good;Good;67399448
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:16.0;0,2135417;Good;Good;67399449
FRD_0592_PIAS140;Druck Silikon;06-APR-21 00:02:17.0;0,3000579;Good;Good;67399450
