Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:00:26.5;60,70602;Good;Good;4553936
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:00:33.6;60,61198;Good;Good;4553937
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:02:33.5;58,99522;Good;Good;4553938
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:03:29.8;58,69864;Good;Good;4553939
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:05:05.9;59,48351;Good;Good;4553940
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:06:29.8;60,46007;Good;Good;4553941
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:07:15.8;61,36791;Good;Good;4553942
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:07:39.4;61,93576;Good;Good;4553943
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:07:45.5;62,02618;Good;Good;4553944
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:08:00.8;62,20703;Good;Good;4553945
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:08:39.7;62,10938;Good;Good;4553946
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:10:20.0;60,9592;Good;Good;4553947
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:10:28.2;60,83984;Good;Good;4553948
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:11:22.4;60,17072;Good;Good;4553949
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:12:05.4;59,65712;Good;Good;4553950
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:13:29.2;58,85778;Good;Good;4553951
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:13:58.9;58,95544;Good;Good;4553952
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:14:25.5;59,23394;Good;Good;4553953
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:15:28.9;60,05136;Good;Good;4553954
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:15:37.1;60,13816;Good;Good;4553955
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:17:25.6;61,57046;Good;Good;4553956
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:18:28.0;61,4728;Good;Good;4553957
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:19:06.0;61,03877;Good;Good;4553958
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:19:22.4;60,82537;Good;Good;4553959
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:20:15.6;59,98626;Good;Good;4553960
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:20:21.7;59,89945;Good;Good;4553961
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:21:51.7;58,73119;Good;Good;4553962
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:22:41.8;58,82885;Good;Good;4553963
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:24:27.3;59,66797;Good;Good;4553964
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:24:50.8;59,90668;Good;Good;4553965
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:26:52.4;61,09303;Good;Good;4553966
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:27:56.8;61,22323;Good;Good;4553967
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:28:57.2;60,69517;Good;Good;4553968
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:29:41.4;60,1237;Good;Good;4553969
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:31:13.5;58,89757;Good;Good;4553970
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:31:34.9;58,80353;Good;Good;4553971
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:32:12.7;58,90118;Good;Good;4553972
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:33:14.2;59,4618;Good;Good;4553973
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:33:33.7;59,62457;Good;Good;4553974
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:35:59.2;61,06047;Good;Good;4553975
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:37:10.9;60,96282;Good;Good;4553976
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:37:52.8;60,56858;Good;Good;4553977
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:39:03.4;59,73669;Good;Good;4553978
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:39:40.2;59,30628;Good;Good;4553979
FRD_0592_TICAS111;Temperatur Umpumpwasser;06-APR-21 00:40:13.0;58,97714;Good;Good;4553980
