Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 00:41:58.3;5;Good;Good;68651
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 01:41:58.0;5;Good;Good;68652
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 02:41:57.9;5;Good;Good;68653
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 03:41:57.8;5;Good;Good;68654
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 04:41:57.2;5;Good;Good;68655
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 05:41:57.0;5;Good;Good;68656
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 06:41:56.1;5;Good;Good;68657
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 07:41:55.8;5;Good;Good;68658
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 08:41:55.5;5;Good;Good;68659
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 09:41:54.8;5;Good;Good;68660
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 10:41:54.4;5;Good;Good;68661
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 11:41:53.5;5;Good;Good;68662
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 12:41:52.8;5;Good;Good;68663
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 13:41:52.8;5;Good;Good;68664
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 14:41:52.3;5;Good;Good;68665
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 15:41:52.3;5;Good;Good;68666
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 16:41:52.1;5;Good;Good;68667
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 17:41:51.2;5;Good;Good;68668
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 18:41:50.6;5;Good;Good;68669
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 19:41:50.0;5;Good;Good;68670
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 20:41:49.7;5;Good;Good;68671
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 21:41:48.7;5;Good;Good;68672
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 22:41:48.0;5;Good;Good;68673
FRD_0592_X_MW_FAKTOR_RRU;Faktor zur Mittelwertsbildung;06-APR-21 23:41:47.1;5;Good;Good;68674
