Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:03.7;100;Good;Good;63610527
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:04.8;98,78856;Good;Good;63610528
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:05.8;97,39967;Good;Good;63610529
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:06.8;100;Good;Good;63610530
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:21.1;100;Good;Good;63610531
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:22.2;98,65356;Good;Good;63610532
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:23.2;97,20678;Good;Good;63610533
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:24.2;96,99461;Good;Good;63610534
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:25.2;99,1358;Good;Good;63610535
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:26.3;100;Good;Good;63610536
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:33.5;100;Good;Good;63610537
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:34.5;98,71143;Good;Good;63610538
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:35.5;96,57021;Good;Good;63610539
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:36.6;98,03627;Good;Good;63610540
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:37.6;100;Good;Good;63610541
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:51.9;100;Good;Good;63610542
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:52.9;99,1358;Good;Good;63610543
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:54.0;98,44135;Good;Good;63610544
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:55.0;97,09103;Good;Good;63610545
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:56.0;94,67976;Good;Good;63610546
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:57.1;94,35183;Good;Good;63610547
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:58.1;96,41588;Good;Good;63610548
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:02:59.1;97,30325;Good;Good;63610549
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:00.1;96,68594;Good;Good;63610550
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:01.1;94,35186;Good;Good;63610551
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:02.2;91,59334;Good;Good;63610552
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:03.2;88,93132;Good;Good;63610553
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:04.2;87,88965;Good;Good;63610554
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:05.2;87,56171;Good;Good;63610555
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:06.2;87,90894;Good;Good;63610556
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:07.3;88,50695;Good;Good;63610557
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:08.3;89,56789;Good;Good;63610558
FRD_0592_X_SW_ANTRIEB_RR;Sollwert Antrieb RRU;06-APR-21 00:03:09.3;91,36187;Good;Good;63610559
