Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:31.6;0,3263527;Good;Good;92447615
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:32.6;0,3285952;Good;Good;92447616
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:35.7;0,3266421;Good;Good;92447617
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:36.7;0,3277633;Good;Good;92447618
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:40.8;0,3280165;Good;Good;92447619
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:41.8;0,3266782;Good;Good;92447620
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:42.8;0,3266059;Good;Good;92447621
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:43.8;0,3280165;Good;Good;92447622
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:46.9;0,327691;Good;Good;92447623
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:48.9;0,3266421;Good;Good;92447624
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:00:55.1;0,3276548;Good;Good;92447625
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:01:04.3;0,3274016;Good;Good;92447626
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:01:28.8;0,3273655;Good;Good;92447627
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:01:29.8;0,326208;Good;Good;92447628
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:01:30.8;0,3272931;Good;Good;92447629
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:01:52.4;0,3268229;Good;Good;92447630
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:02:10.9;0,3267144;Good;Good;92447631
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:02:11.9;0,3280165;Good;Good;92447632
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:02:12.9;0,3267868;Good;Good;92447633
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:02:18.1;0,3275101;Good;Good;92447634
FRD_0593_PDIRSA313_2;Differenzdruck vor Filter HT 2 [kPa];06-APR-21 00:02:22.1;0,3275463;Good;Good;92447635
