Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 00:41:58.3;113;Good;Good;32857
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 01:41:58.0;113;Good;Good;32858
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 02:41:57.9;113;Good;Good;32859
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 03:41:57.8;113;Good;Good;32860
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 04:41:57.0;113;Good;Good;32861
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 05:41:57.0;113;Good;Good;32862
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 06:41:56.1;113;Good;Good;32863
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 07:41:55.8;113;Good;Good;32864
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 08:41:55.4;113;Good;Good;32865
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 09:41:54.8;113;Good;Good;32866
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 10:41:54.4;113;Good;Good;32867
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 11:41:53.5;113;Good;Good;32868
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 12:41:52.8;113;Good;Good;32869
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 13:41:52.8;113;Good;Good;32870
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 14:41:52.3;113;Good;Good;32871
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 15:41:52.3;113;Good;Good;32872
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 16:41:52.1;113;Good;Good;32873
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 17:41:51.1;113;Good;Good;32874
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 18:41:50.5;113;Good;Good;32875
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 19:41:49.8;113;Good;Good;32876
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 20:41:49.4;113;Good;Good;32877
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 21:41:48.6;113;Good;Good;32878
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 22:41:47.8;113;Good;Good;32879
FRD_0593_SCHOTT_ABSPER;Position Absperrklappe;06-APR-21 23:41:46.9;113;Good;Good;32880
