Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 00:41:58.3;69,15473;Good;Good;33992
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 01:41:58.0;69,15473;Good;Good;33993
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 02:41:57.9;69,15473;Good;Good;33994
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 03:41:57.8;69,15473;Good;Good;33995
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 04:41:57.0;69,15473;Good;Good;33996
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 05:41:57.0;69,15473;Good;Good;33997
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 06:41:56.1;69,15473;Good;Good;33998
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 07:41:55.8;69,15473;Good;Good;33999
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 08:41:55.4;69,15473;Good;Good;34000
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 09:41:54.8;69,15473;Good;Good;34001
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 10:41:54.4;69,15473;Good;Good;34002
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 11:41:53.5;69,15473;Good;Good;34003
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 12:41:52.8;69,15473;Good;Good;34004
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 13:41:52.8;69,15473;Good;Good;34005
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 14:41:52.3;69,15473;Good;Good;34006
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 15:41:52.3;69,15473;Good;Good;34007
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 16:41:52.1;69,15473;Good;Good;34008
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 17:41:51.1;69,15473;Good;Good;34009
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 18:41:50.5;69,15473;Good;Good;34010
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 19:41:49.8;69,15473;Good;Good;34011
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 20:41:49.4;69,15473;Good;Good;34012
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 21:41:48.6;69,15473;Good;Good;34013
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 22:41:47.8;69,15473;Good;Good;34014
FRD_0593_SCHOTT_HT_END;Position Abschottung HT Ende;06-APR-21 23:41:46.9;69,15473;Good;Good;34015
