Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 00:41:58.3;100,2734;Good;Good;34403
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 01:41:58.0;100,2734;Good;Good;34404
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 02:41:57.9;100,2697;Good;Good;34405
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 03:41:57.8;100,2697;Good;Good;34406
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 04:41:57.0;100,2697;Good;Good;34407
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 05:41:57.0;100,2661;Good;Good;34408
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 06:41:56.1;100,2697;Good;Good;34409
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 07:41:55.8;100,2661;Good;Good;34410
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 08:41:55.4;100,2734;Good;Good;34411
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 09:41:54.8;100,2808;Good;Good;34412
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 10:41:54.4;100,2845;Good;Good;34413
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 11:41:53.5;100,2771;Good;Good;34414
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 12:41:52.8;100,2771;Good;Good;34415
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 13:41:52.8;100,2808;Good;Good;34416
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 14:41:52.3;100,2808;Good;Good;34417
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 15:41:52.3;100,2734;Good;Good;34418
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 16:41:52.1;100,2697;Good;Good;34419
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 17:41:51.1;100,2697;Good;Good;34420
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 18:41:50.5;100,2661;Good;Good;34421
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 19:41:49.8;100,2661;Good;Good;34422
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 20:41:49.4;100,2661;Good;Good;34423
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 21:41:48.6;100,2661;Good;Good;34424
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 22:41:47.8;100,2661;Good;Good;34425
FRD_0593_SCHOTT_UEBERL;Position Überleitung;06-APR-21 23:41:46.9;100,2624;Good;Good;34426
