Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:00:00.9;0;Good;Good;55794054
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:00.2;111;Good;Good;55794055
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:01.2;0;Good;Good;55794056
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:05.3;120;Good;Good;55794057
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:07.3;123;Good;Good;55794058
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:09.4;124;Good;Good;55794059
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:11.4;123;Good;Good;55794060
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:15.5;124;Good;Good;55794061
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:16.5;6;Good;Good;55794062
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:19.6;64;Good;Good;55794063
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:21.6;84;Good;Good;55794064
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:23.7;0;Good;Good;55794065
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:25.7;63;Good;Good;55794066
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:27.8;97;Good;Good;55794067
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:29.8;107;Good;Good;55794068
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:31.9;112;Good;Good;55794069
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:32.9;0;Good;Good;55794070
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:38.0;15;Good;Good;55794071
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:40.0;69;Good;Good;55794072
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:42.1;89;Good;Good;55794073
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:44.2;97;Good;Good;55794074
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:46.2;103;Good;Good;55794075
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:47.3;0;Good;Good;55794076
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:50.3;57;Good;Good;55794077
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:52.4;91;Good;Good;55794078
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:54.5;103;Good;Good;55794079
FRD_0593_SIRA0379;Tunnelbandgeschwindigkeit;06-APR-21 00:01:55.5;45;Good;Good;55794080
