Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:03:46.1;34,69329;Good;Good;2187708
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:04:59.8;35,3588;Good;Good;2187709
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:06:20.6;34,96817;Good;Good;2187710
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:07:45.5;34,14352;Good;Good;2187711
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:12:19.6;34,53414;Good;Good;2187712
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:13:39.4;34,92477;Good;Good;2187713
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:15:56.5;34,53414;Good;Good;2187714
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:17:11.1;33,8397;Good;Good;2187715
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:22:34.6;34,23032;Good;Good;2187716
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:23:44.2;34,80903;Good;Good;2187717
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:24:22.1;35,19965;Good;Good;2187718
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:25:19.4;35,61921;Good;Good;2187719
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:26:16.6;35,22859;Good;Good;2187720
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:28:20.3;33,85417;Good;Good;2187721
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:31:09.4;34,24479;Good;Good;2187722
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:32:08.7;34,70775;Good;Good;2187723
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:32:52.7;35,09838;Good;Good;2187724
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:35:18.2;34,70775;Good;Good;2187725
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:36:18.6;34,25926;Good;Good;2187726
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:38:32.7;34,64988;Good;Good;2187727
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:40:07.9;35,59028;Good;Good;2187728
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:41:52.2;35,19965;Good;Good;2187729
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:42:54.7;34,69329;Good;Good;2187730
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:46:17.2;35,06944;Good;Good;2187731
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:46:58.2;35,46007;Good;Good;2187732
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:48:50.6;35,06944;Good;Good;2187733
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:49:51.0;34,62095;Good;Good;2187734
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:52:31.7;34,9971;Good;Good;2187735
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:53:09.5;35,38773;Good;Good;2187736
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:55:27.6;34,9971;Good;Good;2187737
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:56:29.0;34,60648;Good;Good;2187738
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 00:59:00.3;34,9971;Good;Good;2187739
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:00:14.9;35,63368;Good;Good;2187740
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:01:55.3;35,24305;Good;Good;2187741
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:02:51.6;34,85243;Good;Good;2187742
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:06:27.4;35,24305;Good;Good;2187743
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:09:52.9;34,85243;Good;Good;2187744
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:11:05.5;34,4618;Good;Good;2187745
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:13:59.4;34,85243;Good;Good;2187746
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:14:55.6;35,25752;Good;Good;2187747
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:16:52.3;34,8669;Good;Good;2187748
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:18:22.2;33,96991;Good;Good;2187749
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:23:32.3;34,34607;Good;Good;2187750
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:24:24.4;34,73669;Good;Good;2187751
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:27:01.1;34,36053;Good;Good;2187752
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:28:11.5;33,96991;Good;Good;2187753
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:30:23.4;34,34607;Good;Good;2187754
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:31:11.6;34,73669;Good;Good;2187755
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:32:17.1;35,27199;Good;Good;2187756
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:33:36.8;34,88137;Good;Good;2187757
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:34:55.8;34,15799;Good;Good;2187758
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:38:31.4;34,54861;Good;Good;2187759
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:39:36.9;34,93924;Good;Good;2187760
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:41:32.4;34,54861;Good;Good;2187761
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:42:53.1;33,82523;Good;Good;2187762
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:47:21.3;34,21585;Good;Good;2187763
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:48:28.8;34,78009;Good;Good;2187764
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:49:17.9;35,17072;Good;Good;2187765
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:50:33.7;34,78009;Good;Good;2187766
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:51:15.6;34,38947;Good;Good;2187767
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:54:42.1;34,78009;Good;Good;2187768
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:56:10.1;35,64815;Good;Good;2187769
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:57:26.9;35,25752;Good;Good;2187770
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 01:58:39.5;34,62095;Good;Good;2187771
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:01:42.7;34,9971;Good;Good;2187772
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:02:16.4;35,38773;Good;Good;2187773
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:04:29.3;35,01157;Good;Good;2187774
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:05:05.1;34,62095;Good;Good;2187775
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:06:13.6;34,05671;Good;Good;2187776
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:08:45.0;34,44734;Good;Good;2187777
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:09:57.6;35,08391;Good;Good;2187778
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:12:03.5;34,69329;Good;Good;2187779
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:13:20.2;33,98438;Good;Good;2187780
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:18:08.8;34,375;Good;Good;2187781
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:19:27.9;35,11285;Good;Good;2187782
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:22:04.6;34,72222;Good;Good;2187783
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:22:50.6;34,3316;Good;Good;2187784
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:25:51.5;34,72222;Good;Good;2187785
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:27:05.1;35,37326;Good;Good;2187786
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:28:28.9;34,98264;Good;Good;2187787
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:29:34.4;34,4618;Good;Good;2187788
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:32:16.0;34,85243;Good;Good;2187789
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:33:28.5;35,47454;Good;Good;2187790
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:35:06.7;35,08391;Good;Good;2187791
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:36:13.2;34,53414;Good;Good;2187792
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:39:05.1;34,92477;Good;Good;2187793
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:40:24.8;35,64815;Good;Good;2187794
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:41:46.7;35,25752;Good;Good;2187795
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:43:43.2;34,01331;Good;Good;2187796
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:48:31.7;34,40393;Good;Good;2187797
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:49:35.0;34,89583;Good;Good;2187798
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:50:23.1;35,28646;Good;Good;2187799
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:52:25.8;34,89583;Good;Good;2187800
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:53:40.5;34,24479;Good;Good;2187801
FRD_0593_TR0346_1;Ist- Temperatur Kühlteil 1;06-APR-21 02:56:47.6;34,63542;Good;Good;2187802
