Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 00:41:58.3;3,2;Good;Good;68629
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 01:41:58.0;3,2;Good;Good;68630
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 02:41:57.9;3,2;Good;Good;68631
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 03:41:57.8;3,2;Good;Good;68632
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 04:41:57.0;3,2;Good;Good;68633
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 05:41:57.0;3,2;Good;Good;68634
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 06:41:56.1;3,2;Good;Good;68635
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 07:41:55.8;3,2;Good;Good;68636
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 08:41:55.4;3,2;Good;Good;68637
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 09:41:54.8;3,2;Good;Good;68638
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 10:41:54.4;3,2;Good;Good;68639
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 11:41:53.5;3,2;Good;Good;68640
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 12:41:52.8;3,2;Good;Good;68641
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 13:41:52.8;3,2;Good;Good;68642
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 14:41:52.3;3,2;Good;Good;68643
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 15:41:52.3;3,2;Good;Good;68644
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 16:41:52.1;3,2;Good;Good;68645
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 17:41:51.1;3,2;Good;Good;68646
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 18:41:50.5;3,2;Good;Good;68647
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 19:41:49.8;3,2;Good;Good;68648
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 20:41:49.4;3,2;Good;Good;68649
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 21:41:48.6;3,2;Good;Good;68650
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 22:41:47.8;3,2;Good;Good;68651
FRD_0593_X_LEVEL_MAX_STA;Max Stau Auslauf;06-APR-21 23:41:46.9;3,2;Good;Good;68652
