Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 00:41:58.3;2,3;Good;Good;68616
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 01:41:58.0;2,3;Good;Good;68617
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 02:41:57.9;2,3;Good;Good;68618
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 03:41:57.8;2,3;Good;Good;68619
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 04:41:57.0;2,3;Good;Good;68620
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 05:41:57.0;2,3;Good;Good;68621
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 06:41:56.1;2,3;Good;Good;68622
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 07:41:55.8;2,3;Good;Good;68623
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 08:41:55.4;2,3;Good;Good;68624
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 09:41:54.8;2,3;Good;Good;68625
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 10:41:54.4;2,3;Good;Good;68626
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 11:41:53.5;2,3;Good;Good;68627
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 12:41:52.8;2,3;Good;Good;68628
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 13:41:52.8;2,3;Good;Good;68629
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 14:41:52.3;2,3;Good;Good;68630
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 15:41:52.3;2,3;Good;Good;68631
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 16:41:52.1;2,3;Good;Good;68632
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 17:41:51.1;2,3;Good;Good;68633
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 18:41:50.5;2,3;Good;Good;68634
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 19:41:49.8;2,3;Good;Good;68635
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 20:41:49.4;2,3;Good;Good;68636
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 21:41:48.6;2,3;Good;Good;68637
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 22:41:47.8;2,3;Good;Good;68638
FRD_0593_X_LEVEL_MIN_GES;Staudrucklevel f. min Geschwindigkeit HQL;06-APR-21 23:41:46.9;2,3;Good;Good;68639
