Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:03.7;100;Good;Good;9607052
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:04.8;98,78856;Good;Good;9607053
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:05.8;97,39967;Good;Good;9607054
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:06.8;100;Good;Good;9607055
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:21.1;100;Good;Good;9607056
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:22.1;98,65356;Good;Good;9607057
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:23.2;97,20678;Good;Good;9607058
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:24.2;96,99461;Good;Good;9607059
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:25.2;99,1358;Good;Good;9607060
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:26.2;100;Good;Good;9607061
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:33.4;100;Good;Good;9607062
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:34.5;98,71143;Good;Good;9607063
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:35.5;96,57021;Good;Good;9607064
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:36.6;98,03627;Good;Good;9607065
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:37.6;100;Good;Good;9607066
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:51.9;100;Good;Good;9607067
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:52.9;99,1358;Good;Good;9607068
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:54.0;98,44135;Good;Good;9607069
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:55.0;97,09103;Good;Good;9607070
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:56.0;94,67976;Good;Good;9607071
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:57.0;94,35183;Good;Good;9607072
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:58.0;96,41588;Good;Good;9607073
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:02:59.1;97,30325;Good;Good;9607074
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:00.1;96,68594;Good;Good;9607075
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:01.1;94,35186;Good;Good;9607076
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:02.1;91,59334;Good;Good;9607077
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:03.2;88,93132;Good;Good;9607078
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:04.2;87,88965;Good;Good;9607079
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:05.2;87,56171;Good;Good;9607080
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:06.2;87,90894;Good;Good;9607081
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:07.3;88,50695;Good;Good;9607082
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:08.3;89,56789;Good;Good;9607083
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:09.3;91,36187;Good;Good;9607084
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:10.3;93,75385;Good;Good;9607085
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:11.3;95,35495;Good;Good;9607086
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:12.4;96,68594;Good;Good;9607087
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:13.4;97,38039;Good;Good;9607088
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:14.4;97,5733;Good;Good;9607089
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:15.4;98,03627;Good;Good;9607090
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:16.4;97,78548;Good;Good;9607091
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:17.5;97,63118;Good;Good;9607092
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:18.5;97,82407;Good;Good;9607093
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:19.5;97,01389;Good;Good;9607094
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:20.5;97,01389;Good;Good;9607095
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:21.6;97,43826;Good;Good;9607096
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:22.6;98,19056;Good;Good;9607097
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:23.6;96,30016;Good;Good;9607098
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:24.6;95,47066;Good;Good;9607099
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:25.7;97,07174;Good;Good;9607100
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:26.7;99,59877;Good;Good;9607101
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:27.7;100;Good;Good;9607102
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:31.8;100;Good;Good;9607103
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:32.8;97,65044;Good;Good;9607104
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:33.8;96,12653;Good;Good;9607105
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:34.8;96,16512;Good;Good;9607106
FRD_0593_X_SW_ANTR_HQL;Sollwert Antrieb Tunnelband;06-APR-21 00:03:35.9;94,77623;Good;Good;9607107
