Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:01:17.6;7203;Good;Good;8168670
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:02:34.5;7204;Good;Good;8168671
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:05:55.0;7205;Good;Good;8168672
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:15:54.5;7205;Good;Good;8168673
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:25:54.2;7205;Good;Good;8168674
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:28:27.5;7209;Good;Good;8168675
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:28:28.5;7214;Good;Good;8168676
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:28:30.6;7215;Good;Good;8168677
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:32:08.7;7216;Good;Good;8168678
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:32:10.7;7217;Good;Good;8168679
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:42:10.6;7217;Good;Good;8168680
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:44:15.4;7219;Good;Good;8168681
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:51:58.8;7220;Good;Good;8168682
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:54:01.7;7221;Good;Good;8168683
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:54:02.7;7222;Good;Good;8168684
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 00:57:32.3;7223;Good;Good;8168685
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:01:21.6;7224;Good;Good;8168686
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:05:25.1;7225;Good;Good;8168687
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:07:43.1;7226;Good;Good;8168688
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:17:42.4;7226;Good;Good;8168689
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:23:11.9;7227;Good;Good;8168690
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:23:14.9;7228;Good;Good;8168691
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:32:04.8;7229;Good;Good;8168692
FRD_0594_CNT_BAD;Zähler Schlecht Objekte;06-APR-21 01:34:35.3;7230;Good;Good;8168693
