Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 00:40:28.3;1200;Good;Good;91119
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 00:48:55.8;1201;Good;Good;91120
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 00:48:56.8;1211;Good;Good;91121
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 00:48:57.8;1221;Good;Good;91122
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 00:48:58.9;1230;Good;Good;91123
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 01:48:58.4;1230;Good;Good;91124
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 01:57:25.9;1237;Good;Good;91125
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 01:57:26.9;1247;Good;Good;91126
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 01:57:28.0;1258;Good;Good;91127
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 01:57:29.0;1260;Good;Good;91128
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 02:57:28.5;1260;Good;Good;91129
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 03:04:37.7;1262;Good;Good;91130
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 03:04:38.8;1273;Good;Good;91131
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 03:04:39.8;1283;Good;Good;91132
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 03:04:40.8;1290;Good;Good;91133
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 04:02:33.7;1300;Good;Good;91134
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 04:02:34.8;1310;Good;Good;91135
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 04:02:35.8;1320;Good;Good;91136
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 04:50:48.1;1330;Good;Good;91137
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 04:50:49.1;1341;Good;Good;91138
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 04:50:50.2;1350;Good;Good;91139
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 05:34:47.5;1361;Good;Good;91140
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 05:34:48.6;1371;Good;Good;91141
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 05:34:50.6;1380;Good;Good;91142
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 06:23:17.8;1383;Good;Good;91143
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 06:23:19.8;1404;Good;Good;91144
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 06:23:20.8;1410;Good;Good;91145
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:08:17.2;1420;Good;Good;91146
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:08:18.3;1430;Good;Good;91147
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:08:19.3;1440;Good;Good;91148
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:54:24.0;1445;Good;Good;91149
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:54:25.0;1456;Good;Good;91150
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:54:26.0;1466;Good;Good;91151
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 07:54:27.0;1470;Good;Good;91152
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 08:54:26.5;1470;Good;Good;91153
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 09:54:26.4;1470;Good;Good;91154
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 10:54:26.1;1470;Good;Good;91155
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 11:20:41.9;1473;Good;Good;91156
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 11:20:43.0;1483;Good;Good;91157
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 11:20:44.0;1493;Good;Good;91158
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 11:20:45.0;1500;Good;Good;91159
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 12:09:35.8;1506;Good;Good;91160
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 12:09:36.8;1526;Good;Good;91161
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 12:09:37.9;1530;Good;Good;91162
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 12:40:37.2;0;Good;Good;91163
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 13:40:37.0;0;Good;Good;91164
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:12:40.8;4;Good;Good;91165
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:12:41.8;14;Good;Good;91166
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:12:42.9;24;Good;Good;91167
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:12:43.9;30;Good;Good;91168
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:14:05.7;31;Good;Good;91169
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:14:06.7;42;Good;Good;91170
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:14:07.8;52;Good;Good;91171
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:14:08.8;55;Good;Good;91172
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 14:14:09.8;60;Good;Good;91173
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 15:12:24.6;64;Good;Good;91174
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 15:12:25.6;74;Good;Good;91175
FRD_0594_CNT_IPK;Zähler IPK;06-APR-21 15:12:26.6;86;Good;Good;91176
