Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 00:01:05.3;0;Good;Good;650223
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 00:11:05.1;0;Good;Good;650224
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 00:21:04.6;0;Good;Good;650225
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 00:31:04.3;0;Good;Good;650226
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 00:41:04.2;0;Good;Good;650227
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 00:51:03.6;0;Good;Good;650228
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 01:01:03.0;0;Good;Good;650229
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 01:11:02.5;0;Good;Good;650230
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 01:21:01.8;0;Good;Good;650231
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 01:31:01.4;0;Good;Good;650232
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 01:41:00.8;0;Good;Good;650233
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 01:51:00.3;0;Good;Good;650234
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 02:00:59.7;0;Good;Good;650235
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 02:10:59.1;0;Good;Good;650236
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 02:20:59.1;0;Good;Good;650237
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 02:30:58.3;0;Good;Good;650238
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 02:40:57.6;0;Good;Good;650239
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 02:50:56.9;0;Good;Good;650240
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 03:00:56.0;0;Good;Good;650241
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 03:10:55.8;0;Good;Good;650242
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 03:20:55.1;0;Good;Good;650243
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 03:30:54.5;0;Good;Good;650244
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 03:40:54.4;0;Good;Good;650245
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 03:50:53.8;0;Good;Good;650246
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 04:00:53.3;0;Good;Good;650247
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 04:10:53.0;0;Good;Good;650248
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 04:20:52.8;0;Good;Good;650249
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 04:30:52.2;0;Good;Good;650250
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 04:40:51.9;0;Good;Good;650251
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 04:50:51.2;0;Good;Good;650252
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 05:00:50.6;0;Good;Good;650253
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 05:10:49.9;0;Good;Good;650254
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 05:20:49.6;0;Good;Good;650255
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 05:30:49.0;0;Good;Good;650256
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 05:40:48.5;0;Good;Good;650257
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 05:50:48.2;0;Good;Good;650258
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 06:00:47.4;0;Good;Good;650259
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 06:10:47.4;0;Good;Good;650260
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 06:20:47.2;0;Good;Good;650261
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 06:30:46.5;0;Good;Good;650262
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 06:40:46.4;0;Good;Good;650263
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 06:50:45.7;0;Good;Good;650264
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 07:00:45.1;0;Good;Good;650265
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 07:10:44.7;0;Good;Good;650266
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 07:20:44.0;0;Good;Good;650267
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 07:30:43.1;0;Good;Good;650268
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 07:40:43.0;0;Good;Good;650269
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 07:50:42.9;0;Good;Good;650270
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 08:00:42.2;0;Good;Good;650271
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 08:10:42.1;0;Good;Good;650272
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 08:20:42.1;0;Good;Good;650273
FRD_0594_PALL_CA_PRESS;Druckluft Testdruck;06-APR-21 08:30:41.2;0;Good;Good;650274
