Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 00:01:05.3;0;Good;Good;650607
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 00:11:05.1;0;Good;Good;650608
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 00:21:04.6;0;Good;Good;650609
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 00:31:04.3;0;Good;Good;650610
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 00:41:04.2;0;Good;Good;650611
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 00:51:03.6;0;Good;Good;650612
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 01:01:03.0;0;Good;Good;650613
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 01:11:02.5;0;Good;Good;650614
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 01:21:01.8;0;Good;Good;650615
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 01:31:01.4;0;Good;Good;650616
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 01:41:00.8;0;Good;Good;650617
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 01:51:00.3;0;Good;Good;650618
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 02:00:59.7;0;Good;Good;650619
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 02:10:59.1;0;Good;Good;650620
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 02:20:59.1;0;Good;Good;650621
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 02:30:58.3;0;Good;Good;650622
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 02:40:57.6;0;Good;Good;650623
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 02:50:56.9;0;Good;Good;650624
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 03:00:56.0;0;Good;Good;650625
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 03:10:55.8;0;Good;Good;650626
FRD_0594_PALL_NPF_CYCLE;Sterilisiationszyklen Stickstoff vorfüllen;06-APR-21 03:20:55.1;0;Good;Good;650627
