Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 00:01:05.3;0;Good;Good;650338
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 00:11:05.1;0;Good;Good;650339
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 00:21:04.6;0;Good;Good;650340
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 00:31:04.3;0;Good;Good;650341
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 00:41:04.2;0;Good;Good;650342
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 00:51:03.6;0;Good;Good;650343
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 01:01:03.0;0;Good;Good;650344
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 01:11:02.5;0;Good;Good;650345
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 01:21:01.8;0;Good;Good;650346
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 01:31:01.4;0;Good;Good;650347
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 01:41:00.8;0;Good;Good;650348
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 01:51:00.3;0;Good;Good;650349
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 02:00:59.7;0;Good;Good;650350
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 02:10:59.1;0;Good;Good;650351
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 02:20:59.1;0;Good;Good;650352
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 02:30:58.3;0;Good;Good;650353
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 02:40:57.6;0;Good;Good;650354
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 02:50:56.9;0;Good;Good;650355
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 03:00:56.0;0;Good;Good;650356
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 03:10:55.8;0;Good;Good;650357
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 03:20:55.1;0;Good;Good;650358
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 03:30:54.5;0;Good;Good;650359
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 03:40:54.4;0;Good;Good;650360
FRD_0594_PALL_NPF_PRESS;Stickstoff Vorfüllen Testdruck;06-APR-21 03:50:53.8;0;Good;Good;650361
