Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:01:35.0;0,01974833;Good;Good;12439386
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:01:47.3;0,0240885;Good;Good;12439387
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:02:12.0;0,0227865;Good;Good;12439388
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:09.7;0,02517366;Good;Good;12439389
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:10.7;0,01649308;Good;Good;12439390
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:11.7;0,02495658;Good;Good;12439391
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:17.9;0,02560771;Good;Good;12439392
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:18.9;0,01822913;Good;Good;12439393
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:27.1;0,01974833;Good;Good;12439394
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:38.3;0,01866317;Good;Good;12439395
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:39.4;0,02777779;Good;Good;12439396
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:40.4;0,01866317;Good;Good;12439397
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:41.4;0,01909721;Good;Good;12439398
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:42.4;0,02690971;Good;Good;12439399
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:04:45.5;0,02322054;Good;Good;12439400
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:05:26.4;0,02322054;Good;Good;12439401
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:05:27.5;0,01671004;Good;Good;12439402
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:05:28.5;0,02560771;Good;Good;12439403
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:05:33.6;0,02235246;Good;Good;12439404
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:08:58.1;0,02473962;Good;Good;12439405
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:08:59.1;0,01605904;Good;Good;12439406
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:09:02.2;0,01822913;Good;Good;12439407
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:09:07.3;0,0234375;Good;Good;12439408
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:09:41.1;0,02256942;Good;Good;12439409
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:18:31.1;0,01866317;Good;Good;12439410
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:18:32.1;0,02864587;Good;Good;12439411
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:18:33.1;0,01974833;Good;Good;12439412
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:18:44.4;0,02061629;Good;Good;12439413
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:19:01.9;0,02473962;Good;Good;12439414
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:19:07.0;0,02213538;Good;Good;12439415
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:31.9;0,01974833;Good;Good;12439416
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:32.9;0,02821183;Good;Good;12439417
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:36.0;0,01822913;Good;Good;12439418
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:37.0;0,02604163;Good;Good;12439419
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:39.1;0,01801217;Good;Good;12439420
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:41.1;0,02582467;Good;Good;12439421
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:42.1;0,01844621;Good;Good;12439422
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:43.2;0,02647567;Good;Good;12439423
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:44.2;0,02582467;Good;Good;12439424
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:45.2;0,01888025;Good;Good;12439425
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:23:51.4;0,02365458;Good;Good;12439426
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:24:28.3;0,02647567;Good;Good;12439427
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:24:29.3;0,01757813;Good;Good;12439428
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:24:33.4;0,02322054;Good;Good;12439429
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:34:33.2;0,02495658;Good;Good;12439430
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:34:37.3;0,02430558;Good;Good;12439431
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:34:52.7;0,01909721;Good;Good;12439432
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:34:55.8;0,02191842;Good;Good;12439433
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:15.2;0,02625871;Good;Good;12439434
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:19.3;0,02604163;Good;Good;12439435
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:22.3;0,02625871;Good;Good;12439436
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:23.4;0,01888025;Good;Good;12439437
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:27.5;0,01909721;Good;Good;12439438
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:28.5;0,02690971;Good;Good;12439439
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:29.5;0,01909721;Good;Good;12439440
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:35:39.7;0,02322054;Good;Good;12439441
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:36:54.5;0,02821183;Good;Good;12439442
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:36:55.5;0,01605904;Good;Good;12439443
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:36:56.5;0,02647567;Good;Good;12439444
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:36:58.6;0,02625871;Good;Good;12439445
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:36:59.6;0,01909721;Good;Good;12439446
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:00.6;0,02560771;Good;Good;12439447
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:03.7;0,02712679;Good;Good;12439448
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:04.7;0,01888025;Good;Good;12439449
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:07.8;0,02777779;Good;Good;12439450
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:16.0;0,02061629;Good;Good;12439451
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:29.3;0,02452254;Good;Good;12439452
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:39.5;0,02387154;Good;Good;12439453
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:37:48.7;0,02039933;Good;Good;12439454
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:38:20.4;0,02191842;Good;Good;12439455
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:38:31.7;0,02452254;Good;Good;12439456
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:38:46.0;0,0234375;Good;Good;12439457
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:39:36.1;0,02430558;Good;Good;12439458
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:39:37.2;0,01736116;Good;Good;12439459
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:39:38.2;0,02821183;Good;Good;12439460
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:39:41.3;0,02756083;Good;Good;12439461
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:39:45.3;0,02452254;Good;Good;12439462
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:40:32.5;0,01909721;Good;Good;12439463
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:40:35.5;0,02126741;Good;Good;12439464
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:40:40.6;0,02387154;Good;Good;12439465
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:41:04.2;0,02300346;Good;Good;12439466
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:41:57.3;0,01866317;Good;Good;12439467
FRD_0594_PIR0415;Druck Eingang WFI;06-APR-21 00:42:03.4;0,02452254;Good;Good;12439468
