Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 00:03:27.8;0,04076242;Good;Good;1581075
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 00:13:27.2;0,04003906;Good;Good;1581076
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 00:23:26.8;0,04040074;Good;Good;1581077
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 00:33:26.5;0,04003906;Good;Good;1581078
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 00:43:26.3;0,04003906;Good;Good;1581079
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 00:53:25.9;0,04003906;Good;Good;1581080
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 01:03:25.3;0,03985822;Good;Good;1581081
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 01:13:24.6;0,04040074;Good;Good;1581082
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 01:23:24.1;0,04040074;Good;Good;1581083
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 01:33:23.6;0,04076242;Good;Good;1581084
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 01:43:22.8;0,04003906;Good;Good;1581085
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 01:53:22.4;0,04040074;Good;Good;1581086
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 02:03:21.9;0,04076242;Good;Good;1581087
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 02:13:21.3;0,04003906;Good;Good;1581088
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 02:23:20.2;0,04003906;Good;Good;1581089
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 02:33:19.3;0,03985822;Good;Good;1581090
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 02:43:18.7;0,03967738;Good;Good;1581091
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 02:53:18.0;0,04003906;Good;Good;1581092
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 03:03:17.1;0,04003906;Good;Good;1581093
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 03:13:16.9;0,04003906;Good;Good;1581094
FRD_0594_PIR0487_12;Druck Ablauf (PIR0487.12);06-APR-21 03:23:16.6;0,04003906;Good;Good;1581095
