Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 00:07:06.6;0,001085069;Good;Good;1581157
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 00:17:06.0;0,0005425347;Good;Good;1581158
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 00:27:05.7;0,001989294;Good;Good;1581159
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 00:37:05.7;0,001085069;Good;Good;1581160
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 00:47:05.4;0,001265914;Good;Good;1581161
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 00:57:04.7;0,002170139;Good;Good;1581162
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 01:07:04.3;0,001085069;Good;Good;1581163
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 01:17:03.6;0,001085069;Good;Good;1581164
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 01:27:03.2;0,0005425347;Good;Good;1581165
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 01:37:02.5;0,001085069;Good;Good;1581166
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 01:47:01.9;0,001808449;Good;Good;1581167
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 01:57:01.3;0,002350984;Good;Good;1581168
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 02:07:00.6;0,0005425347;Good;Good;1581169
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 02:17:00.3;0,0001808449;Good;Good;1581170
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 02:27:00.0;0,003074363;Good;Good;1581171
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 02:36:59.3;0,0009042245;Good;Good;1581172
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 02:46:58.7;0,0007233796;Good;Good;1581173
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 02:56:57.8;-0,0001808449;Good;Good;1581174
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:06:56.9;-0,0005425347;Good;Good;1581175
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:14:27.5;0,004340278;Good;Good;1581176
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:19:28.0;0,0001808449;Good;Good;1581177
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:29:27.6;0,001446759;Good;Good;1581178
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:39:27.6;0,001446759;Good;Good;1581179
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:49:26.9;0,001808449;Good;Good;1581180
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 03:59:26.4;0,001808449;Good;Good;1581181
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 04:09:26.0;0,001446759;Good;Good;1581182
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 04:19:25.8;0,001808449;Good;Good;1581183
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 04:29:25.3;0,002531829;Good;Good;1581184
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 04:39:25.0;0,0009042245;Good;Good;1581185
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 04:49:24.3;0,001085069;Good;Good;1581186
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 04:59:23.6;-0,0001808449;Good;Good;1581187
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:01:25.4;0,004159433;Good;Good;1581188
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:04:01.9;-0,0005425347;Good;Good;1581189
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:08:21.6;0,004159433;Good;Good;1581190
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:08:54.3;-0,0001808449;Good;Good;1581191
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:18:54.0;0,0009042245;Good;Good;1581192
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:28:53.4;0,001627604;Good;Good;1581193
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:38:52.9;0,001989294;Good;Good;1581194
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:48:52.4;0,0007233796;Good;Good;1581195
FRD_0594_QRSA0598_1;Leitfähigkeit 90A01;06-APR-21 05:58:51.9;-0,0007233796;Good;Good;1581196
