Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 00:03:27.8;300;Good;Good;186021
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 00:13:27.2;300;Good;Good;186022
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 00:23:26.8;300;Good;Good;186023
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 00:33:26.5;300;Good;Good;186024
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 00:43:26.3;300;Good;Good;186025
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 00:53:25.9;300;Good;Good;186026
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 01:03:25.3;300;Good;Good;186027
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 01:13:24.6;300;Good;Good;186028
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 01:23:24.1;300;Good;Good;186029
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 01:33:23.6;300;Good;Good;186030
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 01:43:22.8;300;Good;Good;186031
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 01:53:22.4;300;Good;Good;186032
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 02:03:21.9;300;Good;Good;186033
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 02:13:21.3;300;Good;Good;186034
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 02:23:20.2;300;Good;Good;186035
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 02:33:19.3;300;Good;Good;186036
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 02:43:18.7;300;Good;Good;186037
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 02:53:18.0;300;Good;Good;186038
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 03:03:17.1;300;Good;Good;186039
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 03:13:16.9;300;Good;Good;186040
FRD_0594_SCHRITT_CIP_SIP;CIP/SIP Schrittnummer;06-APR-21 03:23:16.6;300;Good;Good;186041
