Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:00:12.1;25,11936;Good;Good;22501821
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:00:13.2;24,94575;Good;Good;22501822
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:00:14.2;25,14106;Good;Good;22501823
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:19.6;25,14648;Good;Good;22501824
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:20.7;25,29839;Good;Good;22501825
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:22.7;25,21701;Good;Good;22501826
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:23.7;24,98372;Good;Good;22501827
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:24.7;25,24957;Good;Good;22501828
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:31.9;25,26584;Good;Good;22501829
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:32.9;24,98372;Good;Good;22501830
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:33.9;25,21159;Good;Good;22501831
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:35.0;25,24957;Good;Good;22501832
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:36.0;24,97287;Good;Good;22501833
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:38.0;24,91319;Good;Good;22501834
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:39.1;25,18989;Good;Good;22501835
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:40.1;25,03798;Good;Good;22501836
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:41.1;25,25499;Good;Good;22501837
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:42.1;24,98372;Good;Good;22501838
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:43.2;25,23871;Good;Good;22501839
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:49.3;25,25499;Good;Good;22501840
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:50.4;25;Good;Good;22501841
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:51.4;25,26042;Good;Good;22501842
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:55.5;25,01085;Good;Good;22501843
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:56.6;25,25499;Good;Good;22501844
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:01:59.6;25,05425;Good;Good;22501845
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:04.8;25,16276;Good;Good;22501846
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:05.8;25,21701;Good;Good;22501847
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:06.8;24,94575;Good;Good;22501848
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:07.9;24,98372;Good;Good;22501849
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:08.9;25,27127;Good;Good;22501850
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:10.9;25,01085;Good;Good;22501851
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:12.0;25,22786;Good;Good;22501852
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:13.0;25,21159;Good;Good;22501853
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:14.0;24,96745;Good;Good;22501854
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:15.0;25,23871;Good;Good;22501855
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:21.1;24,99457;Good;Good;22501856
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:22.2;25,20616;Good;Good;22501857
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:23.2;25,23871;Good;Good;22501858
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:24.2;24,98372;Good;Good;22501859
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:28.3;25,24414;Good;Good;22501860
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:29.4;25,01085;Good;Good;22501861
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:30.4;25,25499;Good;Good;22501862
FRD_0594_TR0430;Temperatur CIP/SIP;06-APR-21 00:02:32.4;24,96745;Good;Good;22501863
