Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 00:41:58.4;100;Good;Good;94610
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 01:41:58.0;100;Good;Good;94611
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 02:41:57.9;100;Good;Good;94612
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 03:41:57.9;100;Good;Good;94613
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 04:41:57.4;100;Good;Good;94614
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 05:41:57.0;100;Good;Good;94615
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 06:41:56.1;100;Good;Good;94616
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 07:41:55.8;100;Good;Good;94617
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 08:41:55.5;100;Good;Good;94618
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 09:41:54.8;100;Good;Good;94619
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 10:41:54.4;100;Good;Good;94620
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 11:41:53.5;100;Good;Good;94621
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 12:41:52.8;100;Good;Good;94622
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 13:41:52.8;100;Good;Good;94623
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 14:41:52.3;100;Good;Good;94624
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 15:41:52.3;100;Good;Good;94625
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 16:41:52.1;100;Good;Good;94626
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 17:41:51.2;100;Good;Good;94627
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 18:41:50.6;100;Good;Good;94628
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 19:41:50.2;100;Good;Good;94629
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 20:41:49.9;100;Good;Good;94630
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 21:41:49.3;100;Good;Good;94631
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 22:41:48.4;100;Good;Good;94632
FRD_0594_X_Einlaufvib_Mo;Einlaufvib. Modulation;06-APR-21 23:41:48.3;100;Good;Good;94633
