Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 00:04:05.6;0;Good;Good;469734
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 00:14:05.0;0;Good;Good;469735
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 00:24:04.8;0;Good;Good;469736
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 00:34:04.4;0;Good;Good;469737
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 00:44:04.2;0;Good;Good;469738
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 00:54:03.7;0;Good;Good;469739
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 01:04:03.1;0;Good;Good;469740
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 01:14:02.5;0;Good;Good;469741
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 01:24:02.0;0;Good;Good;469742
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 01:34:01.4;0;Good;Good;469743
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 01:44:00.8;0;Good;Good;469744
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 01:54:00.2;0;Good;Good;469745
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 02:03:59.7;0;Good;Good;469746
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 02:13:59.1;0;Good;Good;469747
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 02:23:58.1;0;Good;Good;469748
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 02:33:57.3;0;Good;Good;469749
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 02:43:56.5;0;Good;Good;469750
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 02:53:55.9;0;Good;Good;469751
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 03:03:54.9;0;Good;Good;469752
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 03:13:54.8;0;Good;Good;469753
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 03:23:54.4;0;Good;Good;469754
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 03:33:53.9;0;Good;Good;469755
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 03:43:53.4;0;Good;Good;469756
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 03:53:52.8;0;Good;Good;469757
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 04:03:52.6;0;Good;Good;469758
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 04:13:52.0;0;Good;Good;469759
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 04:23:51.8;0;Good;Good;469760
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 04:33:51.3;0;Good;Good;469761
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 04:43:50.9;0;Good;Good;469762
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 04:53:50.3;0;Good;Good;469763
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 05:03:49.6;0;Good;Good;469764
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 05:13:48.7;0;Good;Good;469765
FRD_0594_X_Initg_STrad;FEHLERHAFTE INITIALISIERUNG STOPFENRAD (EK173);06-APR-21 05:23:48.5;0;Good;Good;469766
