Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 00:03:27.8;57,5;Good;Good;472304
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 00:13:27.2;57,5;Good;Good;472305
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 00:23:26.8;57,5;Good;Good;472306
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 00:33:26.5;57,5;Good;Good;472307
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 00:43:26.3;57,5;Good;Good;472308
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 00:53:25.9;57,5;Good;Good;472309
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 01:03:25.3;57,5;Good;Good;472310
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 01:13:24.6;57,5;Good;Good;472311
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 01:23:24.1;57,5;Good;Good;472312
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 01:33:23.6;57,5;Good;Good;472313
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 01:43:22.8;57,5;Good;Good;472314
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 01:53:22.4;57,5;Good;Good;472315
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 02:03:21.9;57,5;Good;Good;472316
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 02:13:21.3;57,5;Good;Good;472317
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 02:23:20.2;57,5;Good;Good;472318
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 02:33:19.3;57,5;Good;Good;472319
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 02:43:18.7;57,5;Good;Good;472320
FRD_0594_X_LV_KA_Geschw;Geschwindigkeit Längsvibrator Kappen;06-APR-21 02:53:18.0;57,5;Good;Good;472321
