Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 00:03:27.8;53;Good;Good;469402
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 00:13:27.2;53;Good;Good;469403
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 00:23:26.8;53;Good;Good;469404
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 00:33:26.5;53;Good;Good;469405
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 00:43:26.3;53;Good;Good;469406
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 00:53:25.9;53;Good;Good;469407
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 01:03:25.3;53;Good;Good;469408
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 01:13:24.6;53;Good;Good;469409
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 01:23:24.1;53;Good;Good;469410
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 01:33:23.6;53;Good;Good;469411
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 01:43:22.8;53;Good;Good;469412
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 01:53:22.4;53;Good;Good;469413
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 02:03:21.9;53;Good;Good;469414
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 02:13:21.3;53;Good;Good;469415
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 02:23:20.2;53;Good;Good;469416
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 02:33:19.3;53;Good;Good;469417
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 02:43:18.7;53;Good;Good;469418
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 02:53:18.0;53;Good;Good;469419
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 03:03:17.1;53;Good;Good;469420
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 03:13:16.9;53;Good;Good;469421
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 03:23:16.6;53;Good;Good;469422
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 03:33:15.8;53;Good;Good;469423
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 03:43:15.6;53;Good;Good;469424
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 03:53:15.0;53;Good;Good;469425
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 04:03:14.7;53;Good;Good;469426
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 04:13:14.1;53;Good;Good;469427
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 04:23:14.0;53;Good;Good;469428
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 04:33:13.5;53;Good;Good;469429
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 04:43:13.0;53;Good;Good;469430
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 04:53:12.5;53;Good;Good;469431
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 05:03:11.8;53;Good;Good;469432
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 05:13:10.9;53;Good;Good;469433
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 05:23:10.7;53;Good;Good;469434
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 05:33:10.3;53;Good;Good;469435
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 05:43:09.5;53;Good;Good;469436
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 05:53:09.4;53;Good;Good;469437
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 06:03:08.5;53;Good;Good;469438
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 06:13:07.6;53;Good;Good;469439
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 06:23:07.6;53;Good;Good;469440
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 06:33:06.6;53;Good;Good;469441
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 06:43:05.7;53;Good;Good;469442
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 06:53:04.7;53;Good;Good;469443
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 07:03:04.2;53;Good;Good;469444
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 07:13:03.8;53;Good;Good;469445
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 07:23:03.5;53;Good;Good;469446
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 07:33:03.2;53;Good;Good;469447
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 07:43:02.2;53;Good;Good;469448
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 07:53:02.0;53;Good;Good;469449
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 08:03:01.3;53;Good;Good;469450
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 08:13:01.3;53;Good;Good;469451
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 08:23:00.6;53;Good;Good;469452
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 08:33:00.5;53;Good;Good;469453
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 08:42:59.8;53;Good;Good;469454
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 08:52:59.3;53;Good;Good;469455
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 09:02:58.4;53;Good;Good;469456
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 09:12:57.7;53;Good;Good;469457
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 09:22:57.0;53;Good;Good;469458
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 09:32:56.1;53;Good;Good;469459
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 09:42:55.1;53;Good;Good;469460
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 09:52:54.3;53;Good;Good;469461
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 10:02:53.8;53;Good;Good;469462
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 10:12:53.0;53;Good;Good;469463
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 10:22:52.7;53;Good;Good;469464
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 10:32:52.3;53;Good;Good;469465
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 10:42:51.6;53;Good;Good;469466
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 10:52:50.9;53;Good;Good;469467
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 11:02:50.6;53;Good;Good;469468
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 11:12:50.4;53;Good;Good;469469
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 11:22:49.7;53;Good;Good;469470
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 11:32:49.3;53;Good;Good;469471
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 11:42:48.7;53;Good;Good;469472
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 11:52:48.1;53;Good;Good;469473
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 12:02:47.6;53;Good;Good;469474
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 12:12:47.0;53;Good;Good;469475
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 12:22:46.5;53;Good;Good;469476
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 12:32:46.2;53;Good;Good;469477
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 12:42:46.0;53;Good;Good;469478
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 12:52:45.2;53;Good;Good;469479
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 13:02:44.3;53;Good;Good;469480
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 13:12:43.6;53;Good;Good;469481
FRD_0594_X_LV_Kappen_f;Frequenz Längsvibrator Kappen;06-APR-21 13:22:42.6;53;Good;Good;469482
