Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 00:03:27.8;60;Good;Good;469607
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 00:13:27.2;60;Good;Good;469608
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 00:23:26.8;60;Good;Good;469609
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 00:33:26.5;60;Good;Good;469610
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 00:43:26.3;60;Good;Good;469611
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 00:53:25.9;60;Good;Good;469612
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 01:03:25.3;60;Good;Good;469613
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 01:13:24.6;60;Good;Good;469614
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 01:23:24.1;60;Good;Good;469615
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 01:33:23.6;60;Good;Good;469616
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 01:43:22.8;60;Good;Good;469617
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 01:53:22.4;60;Good;Good;469618
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 02:03:21.9;60;Good;Good;469619
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 02:13:21.3;60;Good;Good;469620
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 02:23:20.2;60;Good;Good;469621
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 02:33:19.3;60;Good;Good;469622
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 02:43:18.7;60;Good;Good;469623
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 02:53:18.0;60;Good;Good;469624
FRD_0594_X_LV_ST_Geschw;Geschwindigkeit Längsvibrator Stopfen;06-APR-21 03:03:17.1;60;Good;Good;469625
