Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 00:03:27.8;100;Good;Good;468790
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 00:13:27.2;100;Good;Good;468791
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 00:23:26.8;100;Good;Good;468792
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 00:33:26.5;100;Good;Good;468793
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 00:43:26.3;100;Good;Good;468794
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 00:53:25.9;100;Good;Good;468795
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 01:03:25.3;100;Good;Good;468796
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 01:13:24.6;100;Good;Good;468797
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 01:23:24.1;100;Good;Good;468798
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 01:33:23.6;100;Good;Good;468799
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 01:43:22.8;100;Good;Good;468800
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 01:53:22.4;100;Good;Good;468801
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 02:03:21.9;100;Good;Good;468802
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 02:13:21.3;100;Good;Good;468803
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 02:23:20.2;100;Good;Good;468804
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 02:33:19.3;100;Good;Good;468805
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 02:43:18.7;100;Good;Good;468806
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 02:53:18.0;100;Good;Good;468807
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 03:03:17.1;100;Good;Good;468808
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 03:13:16.9;100;Good;Good;468809
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 03:23:16.6;100;Good;Good;468810
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 03:33:15.8;100;Good;Good;468811
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 03:43:15.6;100;Good;Good;468812
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 03:53:15.0;100;Good;Good;468813
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 04:03:14.7;100;Good;Good;468814
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 04:13:14.1;100;Good;Good;468815
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 04:23:14.0;100;Good;Good;468816
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 04:33:13.5;100;Good;Good;468817
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 04:43:13.0;100;Good;Good;468818
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 04:53:12.5;100;Good;Good;468819
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 05:03:11.8;100;Good;Good;468820
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 05:13:10.9;100;Good;Good;468821
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 05:23:10.7;100;Good;Good;468822
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 05:33:10.3;100;Good;Good;468823
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 05:43:09.5;100;Good;Good;468824
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 05:53:09.4;100;Good;Good;468825
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 06:03:08.5;100;Good;Good;468826
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 06:13:07.6;100;Good;Good;468827
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 06:23:07.6;100;Good;Good;468828
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 06:33:06.6;100;Good;Good;468829
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 06:43:05.7;100;Good;Good;468830
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 06:53:04.7;100;Good;Good;468831
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 07:03:04.2;100;Good;Good;468832
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 07:13:03.8;100;Good;Good;468833
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 07:23:03.5;100;Good;Good;468834
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 07:33:03.2;100;Good;Good;468835
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 07:43:02.2;100;Good;Good;468836
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 07:53:02.0;100;Good;Good;468837
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 08:03:01.3;100;Good;Good;468838
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 08:13:01.3;100;Good;Good;468839
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 08:23:00.6;100;Good;Good;468840
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 08:33:00.5;100;Good;Good;468841
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 08:42:59.8;100;Good;Good;468842
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 08:52:59.3;100;Good;Good;468843
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 09:02:58.4;100;Good;Good;468844
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 09:12:57.7;100;Good;Good;468845
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 09:22:57.0;100;Good;Good;468846
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 09:32:56.1;100;Good;Good;468847
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 09:42:55.1;100;Good;Good;468848
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 09:52:54.3;100;Good;Good;468849
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 10:02:53.8;100;Good;Good;468850
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 10:12:53.0;100;Good;Good;468851
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 10:22:52.7;100;Good;Good;468852
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 10:32:52.3;100;Good;Good;468853
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 10:42:51.6;100;Good;Good;468854
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 10:52:50.9;100;Good;Good;468855
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 11:02:50.6;100;Good;Good;468856
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 11:12:50.4;100;Good;Good;468857
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 11:22:49.7;100;Good;Good;468858
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 11:32:49.3;100;Good;Good;468859
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 11:42:48.7;100;Good;Good;468860
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 11:52:48.1;100;Good;Good;468861
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 12:02:47.6;100;Good;Good;468862
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 12:12:47.0;100;Good;Good;468863
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 12:22:46.5;100;Good;Good;468864
FRD_0594_X_LV_ST_Mod;Modulation Längsvibrator Stopfen;06-APR-21 12:32:46.2;100;Good;Good;468865
