Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:05:58.1;1;Good;Good;591396
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:15:57.5;1;Good;Good;591397
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:25:54.2;0;Good;Good;591398
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:26:04.4;1;Good;Good;591399
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:26:05.4;0;Good;Good;591400
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:27:19.1;1;Good;Good;591401
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:37:19.1;1;Good;Good;591402
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:47:18.7;1;Good;Good;591403
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:52:23.5;0;Good;Good;591404
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:52:27.6;1;Good;Good;591405
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:52:28.6;0;Good;Good;591406
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:53:31.0;1;Good;Good;591407
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:53:33.0;0;Good;Good;591408
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 00:53:36.1;1;Good;Good;591409
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 01:03:35.5;1;Good;Good;591410
FRD_0594_X_MinStau_KA_RV;MIN STAU ZUFUEHRBAHN KAPPEN;06-APR-21 01:13:34.8;1;Good;Good;591411
