Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:08:21.3;0;Good;Good;489728
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:18:20.9;0;Good;Good;489729
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:26:04.4;1;Good;Good;489730
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:27:25.2;0;Good;Good;489731
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:37:25.2;0;Good;Good;489732
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:47:24.8;0;Good;Good;489733
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:52:27.6;1;Good;Good;489734
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 00:53:38.1;0;Good;Good;489735
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:03:37.6;0;Good;Good;489736
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:13:36.9;0;Good;Good;489737
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:23:36.4;0;Good;Good;489738
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:33:10.3;1;Good;Good;489739
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:34:10.6;0;Good;Good;489740
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:44:10.0;0;Good;Good;489741
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 01:54:09.4;0;Good;Good;489742
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:04:08.9;0;Good;Good;489743
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:14:08.3;0;Good;Good;489744
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:14:41.0;1;Good;Good;489745
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:15:07.6;0;Good;Good;489746
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:25:06.6;0;Good;Good;489747
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:35:05.7;0;Good;Good;489748
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:45:04.9;0;Good;Good;489749
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 02:55:04.4;0;Good;Good;489750
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 03:05:03.3;0;Good;Good;489751
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 03:15:03.3;0;Good;Good;489752
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 03:25:03.1;0;Good;Good;489753
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 03:35:02.5;0;Good;Good;489754
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 03:45:02.1;0;Good;Good;489755
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 03:55:01.3;0;Good;Good;489756
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:05:01.0;0;Good;Good;489757
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:12:52.7;1;Good;Good;489758
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:12:56.7;0;Good;Good;489759
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:22:56.6;0;Good;Good;489760
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:32:56.1;0;Good;Good;489761
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:38:20.6;1;Good;Good;489762
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:38:35.9;0;Good;Good;489763
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:48:35.2;0;Good;Good;489764
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 04:58:34.6;0;Good;Good;489765
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 05:08:33.9;0;Good;Good;489766
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 05:18:33.5;0;Good;Good;489767
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 05:28:32.8;0;Good;Good;489768
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 05:38:32.4;0;Good;Good;489769
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 05:48:31.9;0;Good;Good;489770
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 05:58:31.5;0;Good;Good;489771
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:08:31.3;0;Good;Good;489772
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:13:13.7;1;Good;Good;489773
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:14:40.6;0;Good;Good;489774
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:24:38.5;1;Good;Good;489775
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:24:45.7;0;Good;Good;489776
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:34:44.8;0;Good;Good;489777
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:44:44.3;0;Good;Good;489778
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 06:54:44.0;0;Good;Good;489779
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:04:43.4;0;Good;Good;489780
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:14:43.0;0;Good;Good;489781
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:24:42.0;0;Good;Good;489782
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:34:41.3;0;Good;Good;489783
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:43:32.9;1;Good;Good;489784
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:43:37.0;0;Good;Good;489785
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 07:53:36.9;0;Good;Good;489786
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 08:03:36.1;0;Good;Good;489787
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 08:13:36.1;0;Good;Good;489788
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 08:23:35.4;0;Good;Good;489789
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 08:33:35.2;0;Good;Good;489790
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 08:43:34.6;0;Good;Good;489791
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 08:53:34.3;0;Good;Good;489792
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 09:03:34.2;0;Good;Good;489793
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 09:13:33.5;0;Good;Good;489794
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 09:23:32.8;0;Good;Good;489795
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 09:33:32.0;0;Good;Good;489796
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 09:43:31.9;0;Good;Good;489797
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 09:53:31.1;0;Good;Good;489798
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 10:03:30.6;0;Good;Good;489799
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 10:13:29.7;0;Good;Good;489800
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 10:23:29.6;0;Good;Good;489801
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 10:33:29.1;0;Good;Good;489802
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 10:43:28.4;0;Good;Good;489803
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 10:53:27.7;0;Good;Good;489804
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 11:03:27.4;0;Good;Good;489805
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 11:13:27.1;0;Good;Good;489806
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 11:23:26.5;0;Good;Good;489807
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 11:33:26.3;0;Good;Good;489808
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 11:43:25.6;0;Good;Good;489809
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 11:53:25.0;0;Good;Good;489810
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:03:24.4;0;Good;Good;489811
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:13:23.8;0;Good;Good;489812
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:23:23.3;0;Good;Good;489813
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:33:23.0;0;Good;Good;489814
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:34:19.2;1;Good;Good;489815
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:44:19.0;1;Good;Good;489816
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 12:54:18.2;1;Good;Good;489817
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:04:17.3;1;Good;Good;489818
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:09:02.9;0;Good;Good;489819
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:19:02.5;0;Good;Good;489820
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:29:01.9;0;Good;Good;489821
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:39:01.8;0;Good;Good;489822
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:49:01.2;0;Good;Good;489823
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 13:59:00.6;0;Good;Good;489824
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 14:08:59.9;0;Good;Good;489825
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 14:18:59.3;0;Good;Good;489826
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 14:28:59.1;0;Good;Good;489827
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 14:38:58.5;0;Good;Good;489828
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 14:48:57.6;0;Good;Good;489829
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 14:58:56.9;0;Good;Good;489830
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 15:08:56.7;0;Good;Good;489831
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 15:18:55.8;0;Good;Good;489832
FRD_0594_X_Min_KA_LV;M I N  STAU KAPPENBAHN (EH010);06-APR-21 15:28:55.5;0;Good;Good;489833
