Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 00:06:00.2;0;Good;Good;470486
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 00:15:59.6;0;Good;Good;470487
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 00:25:59.3;0;Good;Good;470488
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 00:35:59.2;0;Good;Good;470489
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 00:45:58.9;0;Good;Good;470490
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 00:55:58.3;0;Good;Good;470491
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 01:05:57.8;0;Good;Good;470492
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 01:15:57.2;0;Good;Good;470493
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 01:25:56.7;0;Good;Good;470494
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 01:35:56.1;0;Good;Good;470495
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 01:45:55.3;0;Good;Good;470496
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 01:55:54.8;0;Good;Good;470497
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 02:05:54.2;0;Good;Good;470498
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 02:15:53.6;0;Good;Good;470499
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 02:25:52.6;0;Good;Good;470500
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 02:35:51.8;0;Good;Good;470501
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 02:45:51.1;0;Good;Good;470502
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 02:55:50.4;0;Good;Good;470503
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 03:05:50.4;0;Good;Good;470504
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 03:15:50.3;0;Good;Good;470505
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 03:25:50.2;0;Good;Good;470506
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 03:35:49.5;0;Good;Good;470507
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 03:45:49.4;0;Good;Good;470508
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 03:55:48.4;0;Good;Good;470509
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 04:05:48.1;0;Good;Good;470510
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 04:15:47.6;0;Good;Good;470511
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 04:25:47.3;0;Good;Good;470512
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 04:35:47.0;0;Good;Good;470513
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 04:45:46.5;0;Good;Good;470514
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 04:55:45.9;0;Good;Good;470515
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 05:05:45.1;0;Good;Good;470516
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 05:15:44.4;0;Good;Good;470517
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 05:25:44.0;0;Good;Good;470518
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 05:35:43.7;0;Good;Good;470519
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 05:45:42.9;0;Good;Good;470520
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 05:55:42.1;0;Good;Good;470521
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 06:05:41.4;0;Good;Good;470522
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 06:15:41.0;0;Good;Good;470523
FRD_0594_X_Min_ST_RV;STOPFENMANGEL IM RUNDVIBRATOR (EH084);06-APR-21 06:23:55.6;1;Good;Good;470524
