Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 00:08:13.1;59;Good;Good;473070
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 00:18:12.7;59;Good;Good;473071
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 00:28:12.2;59;Good;Good;473072
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 00:38:11.2;59;Good;Good;473073
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 00:48:10.8;59;Good;Good;473074
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 00:58:10.2;59;Good;Good;473075
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 01:08:09.7;59;Good;Good;473076
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 01:18:09.0;59;Good;Good;473077
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 01:28:08.5;59;Good;Good;473078
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 01:38:07.9;59;Good;Good;473079
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 01:48:07.3;59;Good;Good;473080
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 01:58:06.8;59;Good;Good;473081
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 02:08:06.1;59;Good;Good;473082
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 02:18:05.8;59;Good;Good;473083
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 02:28:05.5;59;Good;Good;473084
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 02:38:04.8;59;Good;Good;473085
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 02:48:04.2;59;Good;Good;473086
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 02:58:03.2;59;Good;Good;473087
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 03:08:02.3;59;Good;Good;473088
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 03:18:02.2;59;Good;Good;473089
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 03:28:01.3;59;Good;Good;473090
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 03:38:00.6;59;Good;Good;473091
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 03:47:59.8;59;Good;Good;473092
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 03:57:59.5;59;Good;Good;473093
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 04:07:59.1;59;Good;Good;473094
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 04:17:58.5;59;Good;Good;473095
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 04:27:58.3;59;Good;Good;473096
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 04:37:58.1;59;Good;Good;473097
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 04:47:57.3;59;Good;Good;473098
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 04:57:56.8;59;Good;Good;473099
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 05:07:56.0;59;Good;Good;473100
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 05:17:55.4;59;Good;Good;473101
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 05:27:55.0;59;Good;Good;473102
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 05:37:54.6;59;Good;Good;473103
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 05:47:54.1;59;Good;Good;473104
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 05:57:53.5;59;Good;Good;473105
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 06:07:53.4;59;Good;Good;473106
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 06:17:53.1;59;Good;Good;473107
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 06:27:52.8;59;Good;Good;473108
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 06:37:52.5;59;Good;Good;473109
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 06:47:51.5;59;Good;Good;473110
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 06:57:51.1;59;Good;Good;473111
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 07:07:50.7;59;Good;Good;473112
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 07:17:50.0;59;Good;Good;473113
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 07:27:49.2;59;Good;Good;473114
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 07:37:48.9;59;Good;Good;473115
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 07:47:48.6;59;Good;Good;473116
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 07:57:48.2;59;Good;Good;473117
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 08:07:48.2;59;Good;Good;473118
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 08:17:47.9;59;Good;Good;473119
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 08:27:47.4;59;Good;Good;473120
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 08:37:46.9;59;Good;Good;473121
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 08:47:46.1;59;Good;Good;473122
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 08:57:45.9;59;Good;Good;473123
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 09:07:45.8;59;Good;Good;473124
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 09:17:45.6;59;Good;Good;473125
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 09:27:45.6;59;Good;Good;473126
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 09:37:44.8;59;Good;Good;473127
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 09:47:44.5;59;Good;Good;473128
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 09:57:43.7;59;Good;Good;473129
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 10:07:43.2;59;Good;Good;473130
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 10:17:42.6;59;Good;Good;473131
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 10:27:42.3;59;Good;Good;473132
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 10:37:41.8;59;Good;Good;473133
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 10:47:40.8;59;Good;Good;473134
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 10:57:40.8;59;Good;Good;473135
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 11:07:40.0;59;Good;Good;473136
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 11:17:39.8;59;Good;Good;473137
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 11:27:39.3;59;Good;Good;473138
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 11:37:39.0;59;Good;Good;473139
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 11:47:38.5;59;Good;Good;473140
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 11:57:37.5;59;Good;Good;473141
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 12:07:37.0;59;Good;Good;473142
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 12:17:36.9;59;Good;Good;473143
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 12:27:36.1;59;Good;Good;473144
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 12:37:35.9;59;Good;Good;473145
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 12:47:35.4;59;Good;Good;473146
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 12:57:34.6;59;Good;Good;473147
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 13:07:33.8;59;Good;Good;473148
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 13:17:33.3;59;Good;Good;473149
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 13:27:33.0;59;Good;Good;473150
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 13:37:32.4;59;Good;Good;473151
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 13:47:32.0;59;Good;Good;473152
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 13:57:31.5;59;Good;Good;473153
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 14:07:30.9;59;Good;Good;473154
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 14:17:30.4;59;Good;Good;473155
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 14:27:30.1;59;Good;Good;473156
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 14:37:29.5;59;Good;Good;473157
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 14:47:29.4;59;Good;Good;473158
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 14:57:28.7;59;Good;Good;473159
FRD_0594_X_RV_KA_Geschw;Geschwindigkeit Rundvibrator Kappen;06-APR-21 15:07:28.4;59;Good;Good;473160
