Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 00:02:38.6;70;Good;Good;469619
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 00:12:38.1;70;Good;Good;469620
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 00:22:37.7;70;Good;Good;469621
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 00:32:37.4;70;Good;Good;469622
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 00:42:37.3;70;Good;Good;469623
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 00:52:36.8;70;Good;Good;469624
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 01:02:36.2;70;Good;Good;469625
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 01:12:35.4;70;Good;Good;469626
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 01:22:35.0;70;Good;Good;469627
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 01:32:34.5;70;Good;Good;469628
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 01:42:33.8;70;Good;Good;469629
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 01:52:33.3;70;Good;Good;469630
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:02:32.8;70;Good;Good;469631
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:12:32.2;70;Good;Good;469632
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:22:31.2;70;Good;Good;469633
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:24:19.6;70;Good;Good;469634
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:24:20.6;72;Good;Good;469635
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:25:18.9;72;Good;Good;469636
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:25:19.9;73;Good;Good;469637
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:26:31.4;73;Good;Good;469638
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:26:32.4;68;Good;Good;469639
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:27:33.8;68;Good;Good;469640
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:27:34.8;77;Good;Good;469641
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:28:28.0;77;Good;Good;469642
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:28:29.0;70;Good;Good;469643
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:38:28.3;70;Good;Good;469644
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:48:27.6;70;Good;Good;469645
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 02:58:26.7;70;Good;Good;469646
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 03:08:25.9;70;Good;Good;469647
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 03:18:25.6;70;Good;Good;469648
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 03:28:24.8;70;Good;Good;469649
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 03:38:24.2;70;Good;Good;469650
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 03:48:23.5;70;Good;Good;469651
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 03:58:23.1;70;Good;Good;469652
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 04:08:22.6;70;Good;Good;469653
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 04:18:22.2;70;Good;Good;469654
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 04:28:21.9;70;Good;Good;469655
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 04:38:21.6;70;Good;Good;469656
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 04:48:20.9;70;Good;Good;469657
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 04:58:20.3;70;Good;Good;469658
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 05:08:19.6;70;Good;Good;469659
FRD_0594_X_RV_ST_Geschw;Geschwindigkeit Rundvibrator Stopfen;06-APR-21 05:18:19.1;70;Good;Good;469660
