Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 00:06:18.6;0;Good;Good;469975
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 00:16:18.0;0;Good;Good;469976
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 00:26:17.7;0;Good;Good;469977
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 00:36:17.6;0;Good;Good;469978
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 00:46:17.3;0;Good;Good;469979
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 00:56:16.7;0;Good;Good;469980
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 01:06:16.2;0;Good;Good;469981
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 01:16:15.6;0;Good;Good;469982
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 01:26:15.2;0;Good;Good;469983
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 01:36:14.5;0;Good;Good;469984
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 01:46:13.8;0;Good;Good;469985
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 01:56:13.2;0;Good;Good;469986
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 02:06:12.6;0;Good;Good;469987
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 02:16:12.1;0;Good;Good;469988
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 02:26:12.0;0;Good;Good;469989
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 02:36:11.3;0;Good;Good;469990
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 02:46:10.5;0;Good;Good;469991
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 02:56:09.8;0;Good;Good;469992
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 03:06:08.8;0;Good;Good;469993
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 03:16:08.7;0;Good;Good;469994
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 03:26:08.6;0;Good;Good;469995
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 03:36:08.1;0;Good;Good;469996
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 03:46:07.9;0;Good;Good;469997
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 03:56:07.8;0;Good;Good;469998
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 04:06:07.5;0;Good;Good;469999
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 04:16:07.0;0;Good;Good;470000
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 04:26:06.8;0;Good;Good;470001
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 04:36:06.5;0;Good;Good;470002
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 04:46:05.9;0;Good;Good;470003
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 04:56:05.4;0;Good;Good;470004
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 05:06:04.6;0;Good;Good;470005
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 05:16:03.8;0;Good;Good;470006
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 05:26:03.5;0;Good;Good;470007
FRD_0594_X_Stö_Servo_ST;STOERUNG SERVO KOLBENSTOPFEN (EN152);06-APR-21 05:36:03.2;0;Good;Good;470008
