Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 00:08:23.3;0;Good;Good;469555
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 00:18:22.9;0;Good;Good;469556
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 00:28:22.4;0;Good;Good;469557
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 00:38:21.4;0;Good;Good;469558
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 00:48:21.0;0;Good;Good;469559
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 00:58:20.5;0;Good;Good;469560
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 01:08:19.9;0;Good;Good;469561
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 01:18:19.2;0;Good;Good;469562
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 01:28:18.7;0;Good;Good;469563
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 01:38:18.1;0;Good;Good;469564
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 01:48:17.5;0;Good;Good;469565
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 01:58:17.0;0;Good;Good;469566
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 02:08:16.3;0;Good;Good;469567
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 02:18:16.0;0;Good;Good;469568
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 02:28:15.7;0;Good;Good;469569
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 02:38:15.0;0;Good;Good;469570
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 02:48:14.3;0;Good;Good;469571
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 02:58:13.5;0;Good;Good;469572
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 03:08:12.6;0;Good;Good;469573
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 03:18:12.4;0;Good;Good;469574
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 03:28:11.5;0;Good;Good;469575
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 03:38:10.9;0;Good;Good;469576
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 03:48:10.1;0;Good;Good;469577
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 03:58:09.7;0;Good;Good;469578
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 04:08:09.3;0;Good;Good;469579
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 04:18:08.8;0;Good;Good;469580
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 04:28:08.5;0;Good;Good;469581
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 04:38:08.3;0;Good;Good;469582
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 04:48:07.6;0;Good;Good;469583
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 04:58:07.1;0;Good;Good;469584
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 05:08:06.2;0;Good;Good;469585
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 05:18:05.7;0;Good;Good;469586
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 05:28:05.2;0;Good;Good;469587
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 05:38:04.8;0;Good;Good;469588
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 05:48:04.3;0;Good;Good;469589
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 05:58:03.8;0;Good;Good;469590
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 06:08:03.7;0;Good;Good;469591
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 06:18:03.4;0;Good;Good;469592
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 06:28:03.0;0;Good;Good;469593
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 06:38:02.7;0;Good;Good;469594
FRD_0594_X_Summenfe_ST_1;SUMMENFEHLER STOPFEN 1 (EI001);06-APR-21 06:48:01.8;0;Good;Good;469595
