Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:08:37.6;0;Good;Good;479952
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:18:37.2;0;Good;Good;479953
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:27:30.3;1;Good;Good;479954
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:28:06.0;0;Good;Good;479955
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:38:05.1;0;Good;Good;479956
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:48:04.7;0;Good;Good;479957
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 00:58:04.1;0;Good;Good;479958
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 01:08:03.6;0;Good;Good;479959
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 01:18:02.9;0;Good;Good;479960
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 01:28:02.4;0;Good;Good;479961
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 01:38:01.8;0;Good;Good;479962
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 01:48:01.2;0;Good;Good;479963
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 01:58:00.7;0;Good;Good;479964
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:08:00.0;0;Good;Good;479965
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:08:37.9;1;Good;Good;479966
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:08:57.3;0;Good;Good;479967
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:09:00.4;1;Good;Good;479968
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:10:03.8;0;Good;Good;479969
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:10:08.9;1;Good;Good;479970
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:10:34.6;0;Good;Good;479971
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:10:40.8;1;Good;Good;479972
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:15:27.0;0;Good;Good;479973
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:15:33.1;1;Good;Good;479974
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:15:40.3;0;Good;Good;479975
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:25:39.3;0;Good;Good;479976
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:35:38.5;0;Good;Good;479977
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:45:37.8;0;Good;Good;479978
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 02:55:37.1;0;Good;Good;479979
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 03:05:36.1;0;Good;Good;479980
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 03:15:36.0;0;Good;Good;479981
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 03:25:35.9;0;Good;Good;479982
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 03:35:35.2;0;Good;Good;479983
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 03:45:35.0;0;Good;Good;479984
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 03:55:34.1;0;Good;Good;479985
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:05:33.8;0;Good;Good;479986
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:12:00.5;1;Good;Good;479987
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:13:03.9;0;Good;Good;479988
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:13:09.0;1;Good;Good;479989
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:13:15.1;0;Good;Good;479990
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:23:15.0;0;Good;Good;479991
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:33:14.5;0;Good;Good;479992
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:43:14.0;0;Good;Good;479993
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 04:53:13.5;0;Good;Good;479994
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 05:03:12.8;0;Good;Good;479995
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 05:13:11.9;0;Good;Good;479996
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 05:23:11.7;0;Good;Good;479997
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 05:33:11.3;0;Good;Good;479998
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 05:43:10.6;0;Good;Good;479999
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 05:53:10.4;0;Good;Good;480000
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 06:03:09.5;0;Good;Good;480001
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 06:13:08.6;0;Good;Good;480002
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 06:23:08.6;0;Good;Good;480003
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 06:33:07.6;0;Good;Good;480004
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 06:43:06.7;0;Good;Good;480005
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 06:53:05.8;0;Good;Good;480006
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:03:05.2;0;Good;Good;480007
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:13:04.9;0;Good;Good;480008
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:23:04.5;0;Good;Good;480009
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:33:04.2;0;Good;Good;480010
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:42:04.0;1;Good;Good;480011
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:43:39.1;0;Good;Good;480012
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:43:45.2;1;Good;Good;480013
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:43:52.4;0;Good;Good;480014
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 07:53:52.3;0;Good;Good;480015
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 08:03:51.4;0;Good;Good;480016
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 08:13:50.5;0;Good;Good;480017
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 08:23:49.7;0;Good;Good;480018
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 08:33:49.6;0;Good;Good;480019
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 08:43:48.9;0;Good;Good;480020
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 08:53:48.7;0;Good;Good;480021
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 09:03:48.5;0;Good;Good;480022
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 09:13:47.8;0;Good;Good;480023
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 09:23:47.1;0;Good;Good;480024
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 09:33:46.4;0;Good;Good;480025
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 09:43:46.3;0;Good;Good;480026
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 09:53:45.4;0;Good;Good;480027
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:03:44.9;0;Good;Good;480028
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:13:44.0;0;Good;Good;480029
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:23:43.9;0;Good;Good;480030
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:33:43.4;0;Good;Good;480031
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:43:42.7;0;Good;Good;480032
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:53:42.0;0;Good;Good;480033
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 10:59:48.6;1;Good;Good;480034
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:00:57.0;0;Good;Good;480035
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:01:02.2;1;Good;Good;480036
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:01:07.2;0;Good;Good;480037
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:11:07.0;0;Good;Good;480038
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:21:06.5;0;Good;Good;480039
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:31:05.6;0;Good;Good;480040
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:41:05.5;0;Good;Good;480041
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 11:51:05.0;0;Good;Good;480042
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 12:01:04.1;0;Good;Good;480043
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 12:11:03.8;0;Good;Good;480044
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 12:21:03.2;0;Good;Good;480045
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 12:31:02.9;0;Good;Good;480046
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 12:41:02.8;0;Good;Good;480047
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 12:51:02.0;0;Good;Good;480048
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 13:01:01.8;0;Good;Good;480049
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 13:11:01.4;0;Good;Good;480050
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 13:21:01.4;0;Good;Good;480051
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 13:31:00.7;0;Good;Good;480052
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 13:41:00.6;0;Good;Good;480053
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 13:51:00.2;0;Good;Good;480054
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 14:01:00.2;0;Good;Good;480055
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 14:10:59.5;0;Good;Good;480056
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 14:20:59.0;0;Good;Good;480057
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 14:30:58.7;0;Good;Good;480058
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 14:40:58.2;0;Good;Good;480059
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 14:50:57.2;0;Good;Good;480060
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 15:00:56.6;0;Good;Good;480061
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 15:10:56.5;0;Good;Good;480062
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 15:20:56.0;0;Good;Good;480063
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 15:30:55.7;0;Good;Good;480064
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 15:40:55.1;0;Good;Good;480065
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 15:50:54.6;0;Good;Good;480066
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 16:00:54.4;0;Good;Good;480067
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 16:10:53.7;0;Good;Good;480068
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 16:20:53.4;0;Good;Good;480069
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 16:30:53.0;0;Good;Good;480070
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 16:40:52.8;0;Good;Good;480071
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 16:50:52.6;0;Good;Good;480072
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:00:52.5;0;Good;Good;480073
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:10:52.0;0;Good;Good;480074
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:20:51.6;0;Good;Good;480075
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:22:43.4;1;Good;Good;480076
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:23:01.8;0;Good;Good;480077
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:23:05.9;1;Good;Good;480078
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:23:49.8;0;Good;Good;480079
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:23:54.9;1;Good;Good;480080
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:24:01.1;0;Good;Good;480081
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:25:38.3;1;Good;Good;480082
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:25:42.5;0;Good;Good;480083
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:35:41.8;0;Good;Good;480084
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:45:41.6;0;Good;Good;480085
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 17:55:41.1;0;Good;Good;480086
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 18:05:40.9;0;Good;Good;480087
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 18:15:40.3;0;Good;Good;480088
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 18:21:18.8;1;Good;Good;480089
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 18:22:20.3;0;Good;Good;480090
FRD_0594_X_Summenfeh_KA;SUMMENFEHLER KAPPEN (EI080 );06-APR-21 18:22:27.6;1;Good;Good;480091
