Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 00:03:27.8;1;Good;Good;1738933
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 00:13:27.2;1;Good;Good;1738934
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 00:23:26.8;1;Good;Good;1738935
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 00:33:26.5;1;Good;Good;1738936
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 00:43:26.3;1;Good;Good;1738937
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 00:53:25.9;1;Good;Good;1738938
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 01:03:25.3;1;Good;Good;1738939
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 01:13:24.6;1;Good;Good;1738940
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 01:23:24.1;1;Good;Good;1738941
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 01:33:23.6;1;Good;Good;1738942
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 01:43:22.8;1;Good;Good;1738943
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 01:53:22.4;1;Good;Good;1738944
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 02:03:21.9;1;Good;Good;1738945
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 02:13:21.3;1;Good;Good;1738946
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 02:23:20.2;1;Good;Good;1738947
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 02:33:19.3;1;Good;Good;1738948
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 02:43:18.7;1;Good;Good;1738949
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 02:53:18.0;1;Good;Good;1738950
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 03:03:17.1;1;Good;Good;1738951
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 03:13:16.9;1;Good;Good;1738952
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 03:23:16.6;1;Good;Good;1738953
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 03:33:15.8;1;Good;Good;1738954
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 03:43:15.6;1;Good;Good;1738955
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 03:53:15.0;1;Good;Good;1738956
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 04:03:14.7;1;Good;Good;1738957
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 04:13:14.1;1;Good;Good;1738958
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 04:23:14.0;1;Good;Good;1738959
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 04:33:13.5;1;Good;Good;1738960
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 04:43:13.0;1;Good;Good;1738961
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 04:53:12.5;1;Good;Good;1738962
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 05:03:11.8;1;Good;Good;1738963
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 05:13:10.9;1;Good;Good;1738964
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 05:23:10.7;1;Good;Good;1738965
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 05:33:10.3;1;Good;Good;1738966
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 05:43:09.5;1;Good;Good;1738967
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 05:53:09.4;1;Good;Good;1738968
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 06:03:08.5;1;Good;Good;1738969
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 06:13:07.6;1;Good;Good;1738970
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 06:23:07.6;1;Good;Good;1738971
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 06:33:06.6;1;Good;Good;1738972
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 06:43:05.7;1;Good;Good;1738973
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 06:53:04.7;1;Good;Good;1738974
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 07:03:04.2;1;Good;Good;1738975
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 07:13:03.8;1;Good;Good;1738976
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 07:23:03.5;1;Good;Good;1738977
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 07:33:03.2;1;Good;Good;1738978
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 07:43:02.2;1;Good;Good;1738979
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 07:53:02.0;1;Good;Good;1738980
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 08:03:01.3;1;Good;Good;1738981
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 08:13:01.3;1;Good;Good;1738982
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 08:23:00.6;1;Good;Good;1738983
FRD_0594_ZDF_SF_01;Anzeige Signal Sensor Füllstelle 1 öffnen;06-APR-21 08:33:00.5;1;Good;Good;1738984
