Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 00:03:27.8;1;Good;Good;8629533
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 00:13:27.2;1;Good;Good;8629534
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 00:23:26.8;1;Good;Good;8629535
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 00:33:26.5;1;Good;Good;8629536
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 00:43:26.3;1;Good;Good;8629537
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 00:53:25.9;1;Good;Good;8629538
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 01:03:25.3;1;Good;Good;8629539
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 01:13:24.6;1;Good;Good;8629540
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 01:23:24.1;1;Good;Good;8629541
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 01:33:23.6;1;Good;Good;8629542
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 01:43:22.8;1;Good;Good;8629543
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 01:53:22.4;1;Good;Good;8629544
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 02:03:21.9;1;Good;Good;8629545
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 02:13:21.3;1;Good;Good;8629546
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 02:23:20.2;1;Good;Good;8629547
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 02:33:19.3;1;Good;Good;8629548
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 02:43:18.7;1;Good;Good;8629549
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 02:53:18.0;1;Good;Good;8629550
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 03:03:17.1;1;Good;Good;8629551
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 03:13:16.9;1;Good;Good;8629552
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 03:23:16.6;1;Good;Good;8629553
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 03:33:15.8;1;Good;Good;8629554
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 03:43:15.6;1;Good;Good;8629555
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 03:53:15.0;1;Good;Good;8629556
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 04:03:14.7;1;Good;Good;8629557
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 04:13:14.1;1;Good;Good;8629558
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 04:23:14.0;1;Good;Good;8629559
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 04:33:13.5;1;Good;Good;8629560
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 04:43:13.0;1;Good;Good;8629561
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 04:53:12.5;1;Good;Good;8629562
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 05:03:11.8;1;Good;Good;8629563
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 05:13:10.9;1;Good;Good;8629564
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 05:23:10.7;1;Good;Good;8629565
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 05:33:10.3;1;Good;Good;8629566
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 05:43:09.5;1;Good;Good;8629567
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 05:53:09.4;1;Good;Good;8629568
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 06:03:08.5;1;Good;Good;8629569
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 06:13:07.6;1;Good;Good;8629570
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 06:23:07.6;1;Good;Good;8629571
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 06:33:06.6;1;Good;Good;8629572
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 06:43:05.7;1;Good;Good;8629573
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 06:53:04.7;1;Good;Good;8629574
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 07:03:04.2;1;Good;Good;8629575
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 07:13:03.8;1;Good;Good;8629576
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 07:23:03.5;1;Good;Good;8629577
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 07:33:03.2;1;Good;Good;8629578
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 07:43:02.2;1;Good;Good;8629579
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 07:53:02.0;1;Good;Good;8629580
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 08:03:01.3;1;Good;Good;8629581
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 08:13:01.3;1;Good;Good;8629582
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 08:23:00.6;1;Good;Good;8629583
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 08:33:00.5;1;Good;Good;8629584
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 08:42:59.8;1;Good;Good;8629585
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 08:52:59.3;1;Good;Good;8629586
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 09:02:58.4;1;Good;Good;8629587
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 09:12:57.7;1;Good;Good;8629588
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 09:22:57.0;1;Good;Good;8629589
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 09:32:56.1;1;Good;Good;8629590
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 09:42:55.1;1;Good;Good;8629591
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 09:52:54.3;1;Good;Good;8629592
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 10:02:53.8;1;Good;Good;8629593
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 10:12:53.0;1;Good;Good;8629594
FRD_0594_ZDF_VF_02;Anzeige Signal Vorfüllung Füllstelle 2 öffnen;06-APR-21 10:22:52.7;1;Good;Good;8629595
