Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 00:41:58.4;0;Good;Good;141715
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 01:41:58.0;0;Good;Good;141716
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 02:41:58.0;0;Good;Good;141717
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 03:41:57.9;0;Good;Good;141718
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 04:41:57.4;0;Good;Good;141719
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 05:41:57.0;0;Good;Good;141720
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 06:41:56.2;0;Good;Good;141721
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 07:41:55.8;0;Good;Good;141722
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 08:41:55.5;0;Good;Good;141723
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 09:41:54.9;0;Good;Good;141724
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 10:41:54.4;0;Good;Good;141725
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 11:41:53.5;0;Good;Good;141726
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 12:41:52.9;0;Good;Good;141727
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 13:41:52.9;0;Good;Good;141728
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 14:41:52.4;0;Good;Good;141729
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 15:41:52.4;0;Good;Good;141730
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 16:41:52.1;0;Good;Good;141731
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 17:41:51.3;0;Good;Good;141732
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 18:41:50.6;0;Good;Good;141733
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 19:41:50.3;0;Good;Good;141734
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 20:41:50.1;0;Good;Good;141735
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 21:41:49.4;0;Good;Good;141736
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 22:41:48.7;0;Good;Good;141737
FRD_0595_DOSIERRATE;Dosierrate H2O2;06-APR-21 23:41:47.8;0;Good;Good;141738
