Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 00:41:58.4;0;Good;Good;13403808
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 01:41:58.0;0;Good;Good;13403809
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 02:41:58.0;0;Good;Good;13403810
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 03:41:57.9;0;Good;Good;13403811
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 04:41:57.4;0;Good;Good;13403812
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 05:41:57.0;0;Good;Good;13403813
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 06:41:56.2;0;Good;Good;13403814
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 07:41:55.8;0;Good;Good;13403815
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 08:41:55.5;0;Good;Good;13403816
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 09:41:54.9;0;Good;Good;13403817
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 10:41:54.4;0;Good;Good;13403818
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 11:41:53.5;0;Good;Good;13403819
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 12:41:52.9;0;Good;Good;13403820
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 13:41:52.9;0;Good;Good;13403821
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 14:41:52.4;0;Good;Good;13403822
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 15:41:52.4;0;Good;Good;13403823
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 16:41:52.1;0;Good;Good;13403824
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 17:41:51.3;0;Good;Good;13403825
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 18:41:50.6;0;Good;Good;13403826
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 19:41:50.3;0;Good;Good;13403827
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 20:41:50.1;0;Good;Good;13403828
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 21:41:49.4;0;Good;Good;13403829
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 22:41:48.7;0;Good;Good;13403830
FRD_0595_M0993_18;Luftfeuchtigkeit Zuluft zu Isolator;06-APR-21 23:41:47.8;0;Good;Good;13403831
