Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 00:41:58.4;0;Good;Good;74956
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 01:41:58.0;0;Good;Good;74957
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 02:41:58.0;0;Good;Good;74958
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 03:41:57.9;0;Good;Good;74959
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 04:41:57.4;0;Good;Good;74960
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 05:41:57.0;0;Good;Good;74961
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 06:41:56.2;0;Good;Good;74962
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 07:41:55.8;0;Good;Good;74963
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 08:41:55.5;0;Good;Good;74964
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 09:41:54.9;0;Good;Good;74965
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 10:41:54.4;0;Good;Good;74966
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 11:41:53.5;0;Good;Good;74967
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 12:41:52.9;0;Good;Good;74968
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 13:41:52.9;0;Good;Good;74969
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 14:41:52.4;0;Good;Good;74970
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 15:41:52.4;0;Good;Good;74971
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 16:41:52.1;0;Good;Good;74972
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 17:41:51.3;0;Good;Good;74973
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 18:41:50.6;0;Good;Good;74974
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 19:41:50.3;0;Good;Good;74975
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 20:41:50.1;0;Good;Good;74976
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 21:41:49.4;0;Good;Good;74977
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 22:41:48.7;0;Good;Good;74978
FRD_0595_PDI0907_2;Zuluft 2  (PDI907.2);06-APR-21 23:41:47.8;0;Good;Good;74979
