Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 00:00:11.1;0,0141059;Good;Good;154616
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 01:00:10.9;0,0141059;Good;Good;154617
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 02:00:10.6;0,0141059;Good;Good;154618
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 03:00:10.1;0,01446759;Good;Good;154619
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 04:00:09.4;0,0141059;Good;Good;154620
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 05:00:08.7;0,0141059;Good;Good;154621
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 06:00:08.6;0,01374421;Good;Good;154622
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 07:00:08.3;0,0141059;Good;Good;154623
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 08:00:07.5;0,0141059;Good;Good;154624
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 09:00:06.6;0,01374421;Good;Good;154625
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 10:00:05.9;0,0141059;Good;Good;154626
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 11:00:05.0;0,01338252;Good;Good;154627
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 12:00:04.8;0,0141059;Good;Good;154628
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 13:00:04.5;0,0141059;Good;Good;154629
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 14:00:04.0;0,0141059;Good;Good;154630
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 15:00:03.5;0,01374421;Good;Good;154631
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 16:00:03.4;0,0141059;Good;Good;154632
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 17:00:02.4;0,0141059;Good;Good;154633
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 18:00:02.4;0,0141059;Good;Good;154634
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 19:00:01.7;0,01446759;Good;Good;154635
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 20:00:00.7;0,0141059;Good;Good;154636
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 21:00:00.3;0,01446759;Good;Good;154637
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 21:59:59.7;0,0141059;Good;Good;154638
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 22:59:59.7;0,01374421;Good;Good;154639
FRD_0595_Q0985_4;MAK Technikgeschoss;06-APR-21 23:59:58.8;0,0141059;Good;Good;154640
