Name;IP_Description;IP_TREND_TIME;IP_TREND_VALUE;IP_TREND_QLEVEL;IP_TREND_QSTATUS;HISTSEQNUM
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 00:54:01.7;-0,01085069;Good;Good;14847130
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 01:54:01.2;-0,01193576;Good;Good;14847131
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 02:54:01.0;-0,01446759;Good;Good;14847132
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 03:34:52.3;-0,01193576;Good;Good;14847133
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 04:34:51.8;-0,01555266;Good;Good;14847134
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 05:00:27.1;-0,01229745;Good;Good;14847135
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 06:00:27.0;-0,01663773;Good;Good;14847136
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 06:02:44.0;-0,01374421;Good;Good;14847137
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 07:02:43.8;-0,01193576;Good;Good;14847138
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 08:02:43.0;-0,01265914;Good;Good;14847139
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 09:02:42.1;-0,01302083;Good;Good;14847140
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 10:02:41.5;-0,01374421;Good;Good;14847141
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 11:02:41.5;-0,01591435;Good;Good;14847142
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 11:14:38.7;-0,009765625;Good;Good;14847143
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 11:40:17.6;-0,01121238;Good;Good;14847144
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 12:40:16.7;-0,01555266;Good;Good;14847145
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 13:09:48.8;-0,01121238;Good;Good;14847146
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 13:22:48.7;-0,01736111;Good;Good;14847147
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 13:23:11.2;-0,008318866;Good;Good;14847148
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 13:27:22.8;-0,008680555;Good;Good;14847149
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 13:28:34.3;-0,01482928;Good;Good;14847150
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 14:05:37.5;-0,009765625;Good;Good;14847151
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 15:05:36.5;-0,009765625;Good;Good;14847152
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 15:55:21.0;-0,01302083;Good;Good;14847153
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 16:55:20.0;-0,01229745;Good;Good;14847154
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 17:55:19.7;-0,01193576;Good;Good;14847155
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 18:55:19.3;-0,01265914;Good;Good;14847156
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 19:55:18.4;-0,01446759;Good;Good;14847157
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 20:55:18.3;-0,01193576;Good;Good;14847158
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 21:55:17.7;-0,010489;Good;Good;14847159
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 22:55:17.4;-0,01446759;Good;Good;14847160
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 23:55:17.1;-0,006148727;Good;Good;14847161
FRD_0595_QICA0985_3;Aktuelle Arbeitsplatzkonzentration;06-APR-21 23:55:29.4;-0,01482928;Good;Good;14847162
